frame_number,man/woman,emotion,year,movie_name
85,man,angry,2008,a_wednesday!
195,man,angry,2008,a_wednesday!
51,man,sad,2008,a_wednesday!
98,woman,neutral,2008,a_wednesday!
147,man,angry,2008,a_wednesday!
197,man,angry,2008,a_wednesday!
202,man,angry,2008,a_wednesday!
149,man,sad,2008,a_wednesday!
182,man,angry,2008,a_wednesday!
86,man,angry,2008,a_wednesday!
107,man,sad,2008,a_wednesday!
104,man,sad,2008,a_wednesday!
214,man,sad,2008,a_wednesday!
106,man,sad,2008,a_wednesday!
52,man,sad,2008,a_wednesday!
186,man,sad,2008,a_wednesday!
103,man,angry,2008,a_wednesday!
204,man,angry,2008,a_wednesday!
199,man,happy,2008,a_wednesday!
181,man,sad,2008,a_wednesday!
133,man,sad,2008,a_wednesday!
136,man,angry,2008,a_wednesday!
146,man,surprise,2008,a_wednesday!
134,man,angry,2008,a_wednesday!
196,man,angry,2008,a_wednesday!
50,man,sad,2008,a_wednesday!
100,woman,neutral,2008,a_wednesday!
137,man,angry,2008,a_wednesday!
101,man,neutral,2008,a_wednesday!
159,man,angry,2008,a_wednesday!
159,man,angry,2008,a_wednesday!
187,man,sad,2008,a_wednesday!
198,man,happy,2008,a_wednesday!
34,man,sad,2008,a_wednesday!
200,man,angry,2008,a_wednesday!
105,man,angry,2008,a_wednesday!
