frame_number,man/woman,emotion,year,movie_name
14,man,neutral,2008,black_and_white
62,man,sad,2008,black_and_white
20,man,neutral,2008,black_and_white
30,man,neutral,2008,black_and_white
15,man,surprise,2008,black_and_white
70,woman,neutral,2008,black_and_white
70,man,neutral,2008,black_and_white
53,man,neutral,2008,black_and_white
12,woman,happy,2008,black_and_white
67,man,sad,2008,black_and_white
33,man,neutral,2008,black_and_white
92,woman,sad,2008,black_and_white
66,man,angry,2008,black_and_white
16,man,neutral,2008,black_and_white
17,man,neutral,2008,black_and_white
81,man,neutral,2008,black_and_white
9,man,sad,2008,black_and_white
9,woman,sad,2008,black_and_white
32,man,neutral,2008,black_and_white
47,woman,sad,2008,black_and_white
48,man,neutral,2008,black_and_white
48,man,neutral,2008,black_and_white
34,man,neutral,2008,black_and_white
43,man,neutral,2008,black_and_white
21,man,happy,2008,black_and_white
22,man,happy,2008,black_and_white
72,woman,neutral,2008,black_and_white
23,man,happy,2008,black_and_white
23,man,sad,2008,black_and_white
18,woman,happy,2008,black_and_white
80,woman,angry,2008,black_and_white
31,woman,neutral,2008,black_and_white
