frame_number,man/woman,emotion,year,movie_name
98,man,angry,2008,dostana
62,man,neutral,2008,dostana
62,man,happy,2008,dostana
60,woman,happy,2008,dostana
58,woman,neutral,2008,dostana
61,man,happy,2008,dostana
61,man,neutral,2008,dostana
44,man,neutral,2008,dostana
44,man,fear,2008,dostana
11,man,sad,2008,dostana
71,man,happy,2008,dostana
71,woman,sad,2008,dostana
30,man,neutral,2008,dostana
30,man,neutral,2008,dostana
19,man,happy,2008,dostana
108,man,neutral,2008,dostana
45,man,neutral,2008,dostana
45,man,angry,2008,dostana
35,man,angry,2008,dostana
35,man,fear,2008,dostana
36,woman,surprise,2008,dostana
59,woman,neutral,2008,dostana
107,woman,sad,2008,dostana
104,man,fear,2008,dostana
106,man,angry,2008,dostana
70,man,happy,2008,dostana
70,woman,sad,2008,dostana
12,man,angry,2008,dostana
63,man,happy,2008,dostana
63,man,neutral,2008,dostana
42,man,neutral,2008,dostana
42,man,angry,2008,dostana
103,man,happy,2008,dostana
103,man,sad,2008,dostana
116,man,sad,2008,dostana
116,man,angry,2008,dostana
33,woman,happy,2008,dostana
109,man,angry,2008,dostana
109,man,neutral,2008,dostana
102,man,surprise,2008,dostana
102,man,fear,2008,dostana
37,woman,angry,2008,dostana
50,man,angry,2008,dostana
100,man,surprise,2008,dostana
100,man,neutral,2008,dostana
47,man,fear,2008,dostana
101,woman,fear,2008,dostana
78,woman,neutral,2008,dostana
97,man,happy,2008,dostana
97,man,happy,2008,dostana
34,woman,happy,2008,dostana
105,woman,surprise,2008,dostana
43,man,angry,2008,dostana
43,man,neutral,2008,dostana
21,man,neutral,2008,dostana
79,woman,neutral,2008,dostana
75,man,happy,2008,dostana
