frame_number,man/woman,emotion,year,movie_name
28,man,sad,2008,drona
51,man,neutral,2008,drona
44,man,sad,2008,drona
88,man,angry,2008,drona
128,man,angry,2008,drona
45,man,sad,2008,drona
55,woman,sad,2008,drona
49,man,sad,2008,drona
56,man,angry,2008,drona
87,man,sad,2008,drona
50,man,neutral,2008,drona
123,man,fear,2008,drona
127,man,angry,2008,drona
47,man,sad,2008,drona
48,man,sad,2008,drona
105,man,angry,2008,drona
73,man,happy,2008,drona
124,man,sad,2008,drona
72,man,happy,2008,drona
139,man,sad,2008,drona
