frame_number,man/woman,emotion,year,movie_name
85,man,angry,2008,ghajini
28,man,neutral,2008,ghajini
61,man,angry,2008,ghajini
4,man,neutral,2008,ghajini
3,man,sad,2008,ghajini
15,man,neutral,2008,ghajini
76,man,happy,2008,ghajini
55,man,sad,2008,ghajini
2,man,sad,2008,ghajini
69,man,fear,2008,ghajini
67,woman,neutral,2008,ghajini
67,man,neutral,2008,ghajini
40,woman,happy,2008,ghajini
56,man,angry,2008,ghajini
29,man,neutral,2008,ghajini
83,man,angry,2008,ghajini
66,man,sad,2008,ghajini
82,man,angry,2008,ghajini
24,man,sad,2008,ghajini
16,man,neutral,2008,ghajini
81,man,angry,2008,ghajini
47,woman,happy,2008,ghajini
43,man,happy,2008,ghajini
43,man,neutral,2008,ghajini
6,man,neutral,2008,ghajini
5,man,neutral,2008,ghajini
75,man,angry,2008,ghajini
25,man,sad,2008,ghajini
31,man,angry,2008,ghajini
