frame_number,man/woman,emotion,year,movie_name
122,man,sad,2008,heros
94,man,neutral,2008,heros
125,man,neutral,2008,heros
19,woman,neutral,2008,heros
120,man,happy,2008,heros
45,man,happy,2008,heros
45,man,happy,2008,heros
59,man,happy,2008,heros
59,man,happy,2008,heros
59,man,happy,2008,heros
70,man,sad,2008,heros
70,woman,happy,2008,heros
145,man,neutral,2008,heros
135,man,angry,2008,heros
29,man,surprise,2008,heros
7,man,sad,2008,heros
27,man,neutral,2008,heros
16,man,neutral,2008,heros
119,man,happy,2008,heros
119,woman,sad,2008,heros
113,man,angry,2008,heros
123,man,happy,2008,heros
115,man,sad,2008,heros
95,man,sad,2008,heros
34,man,angry,2008,heros
105,man,sad,2008,heros
114,man,neutral,2008,heros
114,man,angry,2008,heros
6,woman,sad,2008,heros
124,man,neutral,2008,heros
31,man,sad,2008,heros
