frame_number,man/woman,emotion,year,movie_name
14,man,neutral,2008,love_story_2050
118,man,neutral,2008,love_story_2050
132,man,fear,2008,love_story_2050
11,woman,happy,2008,love_story_2050
131,woman,neutral,2008,love_story_2050
128,man,surprise,2008,love_story_2050
30,man,fear,2008,love_story_2050
35,man,angry,2008,love_story_2050
36,man,happy,2008,love_story_2050
121,man,neutral,2008,love_story_2050
67,man,angry,2008,love_story_2050
42,woman,fear,2008,love_story_2050
116,man,neutral,2008,love_story_2050
33,man,surprise,2008,love_story_2050
129,man,fear,2008,love_story_2050
66,man,angry,2008,love_story_2050
133,man,fear,2008,love_story_2050
65,man,happy,2008,love_story_2050
134,man,sad,2008,love_story_2050
123,woman,sad,2008,love_story_2050
123,man,sad,2008,love_story_2050
100,man,surprise,2008,love_story_2050
100,woman,surprise,2008,love_story_2050
148,woman,sad,2008,love_story_2050
32,man,neutral,2008,love_story_2050
47,man,happy,2008,love_story_2050
101,woman,angry,2008,love_story_2050
117,man,neutral,2008,love_story_2050
34,man,neutral,2008,love_story_2050
124,woman,sad,2008,love_story_2050
130,man,neutral,2008,love_story_2050
