frame_number,man/woman,emotion,year,movie_name
28,man,sad,2008,mere_baap_pehle_aap
60,man,happy,2008,mere_baap_pehle_aap
61,man,happy,2008,mere_baap_pehle_aap
96,man,angry,2008,mere_baap_pehle_aap
20,man,fear,2008,mere_baap_pehle_aap
30,woman,angry,2008,mere_baap_pehle_aap
76,man,happy,2008,mere_baap_pehle_aap
76,man,fear,2008,mere_baap_pehle_aap
108,man,fear,2008,mere_baap_pehle_aap
140,man,happy,2008,mere_baap_pehle_aap
45,man,sad,2008,mere_baap_pehle_aap
55,man,sad,2008,mere_baap_pehle_aap
35,man,neutral,2008,mere_baap_pehle_aap
59,woman,happy,2008,mere_baap_pehle_aap
104,man,angry,2008,mere_baap_pehle_aap
68,man,happy,2008,mere_baap_pehle_aap
26,man,angry,2008,mere_baap_pehle_aap
53,man,angry,2008,mere_baap_pehle_aap
67,man,happy,2008,mere_baap_pehle_aap
42,man,sad,2008,mere_baap_pehle_aap
42,man,sad,2008,mere_baap_pehle_aap
103,man,surprise,2008,mere_baap_pehle_aap
54,man,angry,2008,mere_baap_pehle_aap
40,man,sad,2008,mere_baap_pehle_aap
40,man,sad,2008,mere_baap_pehle_aap
116,woman,angry,2008,mere_baap_pehle_aap
33,man,fear,2008,mere_baap_pehle_aap
74,man,neutral,2008,mere_baap_pehle_aap
102,man,angry,2008,mere_baap_pehle_aap
29,man,angry,2008,mere_baap_pehle_aap
83,man,sad,2008,mere_baap_pehle_aap
83,woman,sad,2008,mere_baap_pehle_aap
66,woman,happy,2008,mere_baap_pehle_aap
27,woman,angry,2008,mere_baap_pehle_aap
141,man,happy,2008,mere_baap_pehle_aap
24,man,sad,2008,mere_baap_pehle_aap
46,woman,neutral,2008,mere_baap_pehle_aap
65,woman,surprise,2008,mere_baap_pehle_aap
41,man,sad,2008,mere_baap_pehle_aap
41,man,sad,2008,mere_baap_pehle_aap
41,man,happy,2008,mere_baap_pehle_aap
134,man,neutral,2008,mere_baap_pehle_aap
100,man,sad,2008,mere_baap_pehle_aap
100,man,disgust,2008,mere_baap_pehle_aap
32,man,angry,2008,mere_baap_pehle_aap
47,man,angry,2008,mere_baap_pehle_aap
137,man,fear,2008,mere_baap_pehle_aap
101,man,angry,2008,mere_baap_pehle_aap
101,woman,sad,2008,mere_baap_pehle_aap
34,woman,angry,2008,mere_baap_pehle_aap
105,man,angry,2008,mere_baap_pehle_aap
43,man,sad,2008,mere_baap_pehle_aap
21,woman,angry,2008,mere_baap_pehle_aap
22,woman,angry,2008,mere_baap_pehle_aap
73,man,neutral,2008,mere_baap_pehle_aap
64,woman,neutral,2008,mere_baap_pehle_aap
23,woman,sad,2008,mere_baap_pehle_aap
75,woman,happy,2008,mere_baap_pehle_aap
139,man,surprise,2008,mere_baap_pehle_aap
25,man,sad,2008,mere_baap_pehle_aap
31,man,fear,2008,mere_baap_pehle_aap
