frame_number,man/woman,emotion,year,movie_name
51,woman,surprise,2008,money_hai_toh_honey_hai
20,man,happy,2008,money_hai_toh_honey_hai
35,man,happy,2008,money_hai_toh_honey_hai
36,man,happy,2008,money_hai_toh_honey_hai
52,woman,happy,2008,money_hai_toh_honey_hai
68,man,neutral,2008,money_hai_toh_honey_hai
38,man,happy,2008,money_hai_toh_honey_hai
26,woman,neutral,2008,money_hai_toh_honey_hai
26,man,neutral,2008,money_hai_toh_honey_hai
26,woman,happy,2008,money_hai_toh_honey_hai
63,man,angry,2008,money_hai_toh_honey_hai
69,man,neutral,2008,money_hai_toh_honey_hai
67,man,happy,2008,money_hai_toh_honey_hai
40,man,happy,2008,money_hai_toh_honey_hai
33,woman,surprise,2008,money_hai_toh_honey_hai
37,man,happy,2008,money_hai_toh_honey_hai
66,woman,happy,2008,money_hai_toh_honey_hai
27,woman,happy,2008,money_hai_toh_honey_hai
27,woman,sad,2008,money_hai_toh_honey_hai
27,woman,sad,2008,money_hai_toh_honey_hai
39,man,happy,2008,money_hai_toh_honey_hai
32,man,sad,2008,money_hai_toh_honey_hai
47,woman,sad,2008,money_hai_toh_honey_hai
48,woman,sad,2008,money_hai_toh_honey_hai
34,woman,surprise,2008,money_hai_toh_honey_hai
25,man,neutral,2008,money_hai_toh_honey_hai
31,man,fear,2008,money_hai_toh_honey_hai
