frame_number,man/woman,emotion,year,movie_name
51,man,happy,2008,mumbai_meri_jaan
98,man,sad,2008,mumbai_meri_jaan
94,woman,neutral,2008,mumbai_meri_jaan
147,man,sad,2008,mumbai_meri_jaan
128,man,sad,2008,mumbai_meri_jaan
108,man,surprise,2008,mumbai_meri_jaan
107,woman,sad,2008,mumbai_meri_jaan
106,man,sad,2008,mumbai_meri_jaan
150,man,neutral,2008,mumbai_meri_jaan
121,man,fear,2008,mumbai_meri_jaan
53,woman,happy,2008,mumbai_meri_jaan
110,man,sad,2008,mumbai_meri_jaan
129,woman,sad,2008,mumbai_meri_jaan
151,man,fear,2008,mumbai_meri_jaan
83,woman,sad,2008,mumbai_meri_jaan
144,woman,fear,2008,mumbai_meri_jaan
144,man,sad,2008,mumbai_meri_jaan
134,woman,sad,2008,mumbai_meri_jaan
50,woman,happy,2008,mumbai_meri_jaan
95,man,neutral,2008,mumbai_meri_jaan
130,woman,happy,2008,mumbai_meri_jaan
