frame_number,man/woman,emotion,year,movie_name
28,man,angry,2008,oye_lucky!_lucky_oye!
60,woman,fear,2008,oye_lucky!_lucky_oye!
60,woman,neutral,2008,oye_lucky!_lucky_oye!
58,man,happy,2008,oye_lucky!_lucky_oye!
35,man,neutral,2008,oye_lucky!_lucky_oye!
59,woman,fear,2008,oye_lucky!_lucky_oye!
59,woman,neutral,2008,oye_lucky!_lucky_oye!
103,man,fear,2008,oye_lucky!_lucky_oye!
116,man,sad,2008,oye_lucky!_lucky_oye!
109,man,happy,2008,oye_lucky!_lucky_oye!
74,woman,neutral,2008,oye_lucky!_lucky_oye!
77,woman,neutral,2008,oye_lucky!_lucky_oye!
27,man,angry,2008,oye_lucky!_lucky_oye!
115,man,happy,2008,oye_lucky!_lucky_oye!
99,woman,happy,2008,oye_lucky!_lucky_oye!
34,man,neutral,2008,oye_lucky!_lucky_oye!
114,man,happy,2008,oye_lucky!_lucky_oye!
