frame_number,man/woman,emotion,year,movie_name
98,woman,happy,2008,rab_ne_bana_di_jodi
58,man,neutral,2008,rab_ne_bana_di_jodi
44,man,neutral,2008,rab_ne_bana_di_jodi
96,man,sad,2008,rab_ne_bana_di_jodi
71,man,neutral,2008,rab_ne_bana_di_jodi
19,woman,neutral,2008,rab_ne_bana_di_jodi
76,man,sad,2008,rab_ne_bana_di_jodi
35,woman,happy,2008,rab_ne_bana_di_jodi
42,man,neutral,2008,rab_ne_bana_di_jodi
40,man,neutral,2008,rab_ne_bana_di_jodi
102,woman,sad,2008,rab_ne_bana_di_jodi
37,woman,sad,2008,rab_ne_bana_di_jodi
100,woman,angry,2008,rab_ne_bana_di_jodi
39,man,neutral,2008,rab_ne_bana_di_jodi
99,man,neutral,2008,rab_ne_bana_di_jodi
97,man,neutral,2008,rab_ne_bana_di_jodi
34,woman,happy,2008,rab_ne_bana_di_jodi
43,man,neutral,2008,rab_ne_bana_di_jodi
79,man,happy,2008,rab_ne_bana_di_jodi
