frame_number,man/woman,emotion,year,movie_name
93,woman,sad,2008,race
28,woman,neutral,2008,race
20,man,angry,2008,race
20,man,angry,2008,race
71,woman,neutral,2008,race
19,man,angry,2008,race
19,man,angry,2008,race
35,man,neutral,2008,race
36,woman,neutral,2008,race
36,man,neutral,2008,race
36,woman,neutral,2008,race
59,woman,neutral,2008,race
26,man,neutral,2008,race
92,woman,neutral,2008,race
29,man,neutral,2008,race
37,man,neutral,2008,race
37,woman,neutral,2008,race
37,woman,neutral,2008,race
83,man,neutral,2008,race
27,man,neutral,2008,race
24,woman,neutral,2008,race
34,man,neutral,2008,race
18,man,happy,2008,race
25,woman,neutral,2008,race
