frame_number,man/woman,emotion,year,movie_name
51,woman,fear,2008,rock_on!!
96,man,sad,2008,rock_on!!
71,man,neutral,2008,rock_on!!
76,man,happy,2008,rock_on!!
45,man,happy,2008,rock_on!!
107,man,neutral,2008,rock_on!!
106,woman,sad,2008,rock_on!!
52,woman,fear,2008,rock_on!!
69,man,angry,2008,rock_on!!
103,woman,happy,2008,rock_on!!
116,woman,happy,2008,rock_on!!
102,woman,happy,2008,rock_on!!
77,man,sad,2008,rock_on!!
82,man,sad,2008,rock_on!!
50,man,sad,2008,rock_on!!
100,man,sad,2008,rock_on!!
101,man,happy,2008,rock_on!!
97,man,sad,2008,rock_on!!
114,man,angry,2008,rock_on!!
114,man,surprise,2008,rock_on!!
