frame_number,man/woman,emotion,year,movie_name
98,man,neutral,2008,superstar
58,woman,sad,2008,superstar
52,man,neutral,2008,superstar
150,man,sad,2008,superstar
49,man,happy,2008,superstar
165,man,angry,2008,superstar
151,man,sad,2008,superstar
46,man,sad,2008,superstar
166,man,neutral,2008,superstar
153,man,happy,2008,superstar
50,man,sad,2008,superstar
47,man,neutral,2008,superstar
48,man,angry,2008,superstar
78,man,angry,2008,superstar
97,man,happy,2008,superstar
152,man,sad,2008,superstar
79,man,angry,2008,superstar
