frame_number,man/woman,emotion,year,movie_name
51,man,sad,2008,thoda_pyaar_thoda_magic
60,man,sad,2008,thoda_pyaar_thoda_magic
71,man,sad,2008,thoda_pyaar_thoda_magic
76,woman,neutral,2008,thoda_pyaar_thoda_magic
91,man,sad,2008,thoda_pyaar_thoda_magic
91,woman,angry,2008,thoda_pyaar_thoda_magic
35,woman,sad,2008,thoda_pyaar_thoda_magic
36,woman,surprise,2008,thoda_pyaar_thoda_magic
59,man,neutral,2008,thoda_pyaar_thoda_magic
52,man,happy,2008,thoda_pyaar_thoda_magic
70,man,sad,2008,thoda_pyaar_thoda_magic
90,man,sad,2008,thoda_pyaar_thoda_magic
38,man,sad,2008,thoda_pyaar_thoda_magic
38,woman,sad,2008,thoda_pyaar_thoda_magic
53,man,neutral,2008,thoda_pyaar_thoda_magic
49,man,sad,2008,thoda_pyaar_thoda_magic
69,man,angry,2008,thoda_pyaar_thoda_magic
54,woman,surprise,2008,thoda_pyaar_thoda_magic
40,man,neutral,2008,thoda_pyaar_thoda_magic
89,man,neutral,2008,thoda_pyaar_thoda_magic
56,man,neutral,2008,thoda_pyaar_thoda_magic
74,man,neutral,2008,thoda_pyaar_thoda_magic
37,man,neutral,2008,thoda_pyaar_thoda_magic
83,man,neutral,2008,thoda_pyaar_thoda_magic
83,man,neutral,2008,thoda_pyaar_thoda_magic
82,man,neutral,2008,thoda_pyaar_thoda_magic
82,woman,neutral,2008,thoda_pyaar_thoda_magic
81,man,sad,2008,thoda_pyaar_thoda_magic
50,woman,neutral,2008,thoda_pyaar_thoda_magic
39,man,surprise,2008,thoda_pyaar_thoda_magic
48,woman,neutral,2008,thoda_pyaar_thoda_magic
34,woman,neutral,2008,thoda_pyaar_thoda_magic
73,man,neutral,2008,thoda_pyaar_thoda_magic
72,man,sad,2008,thoda_pyaar_thoda_magic
75,woman,neutral,2008,thoda_pyaar_thoda_magic
