frame_number,man/woman,emotion,year,movie_name
93,man,surprise,2009,99
122,man,angry,2009,99
14,man,sad,2009,99
85,woman,neutral,2009,99
28,man,neutral,2009,99
28,man,sad,2009,99
98,woman,sad,2009,99
132,man,angry,2009,99
58,man,neutral,2009,99
44,man,sad,2009,99
96,man,angry,2009,99
88,woman,sad,2009,99
128,man,angry,2009,99
71,man,neutral,2009,99
71,man,neutral,2009,99
76,man,neutral,2009,99
45,man,sad,2009,99
35,man,angry,2009,99
36,man,sad,2009,99
59,man,happy,2009,99
104,man,angry,2009,99
121,man,sad,2009,99
90,man,angry,2009,99
26,man,sad,2009,99
8,man,neutral,2009,99
8,man,neutral,2009,99
49,man,neutral,2009,99
49,man,neutral,2009,99
42,woman,sad,2009,99
103,man,neutral,2009,99
40,man,angry,2009,99
89,man,sad,2009,99
116,woman,neutral,2009,99
92,man,angry,2009,99
29,man,neutral,2009,99
29,man,neutral,2009,99
83,man,neutral,2009,99
84,woman,neutral,2009,99
13,man,angry,2009,99
7,man,neutral,2009,99
7,man,neutral,2009,99
77,man,sad,2009,99
82,man,happy,2009,99
24,man,angry,2009,99
24,man,neutral,2009,99
46,man,angry,2009,99
65,man,neutral,2009,99
41,man,angry,2009,99
10,man,neutral,2009,99
81,man,happy,2009,99
50,man,fear,2009,99
113,man,angry,2009,99
9,man,neutral,2009,99
9,man,neutral,2009,99
100,man,sad,2009,99
39,man,angry,2009,99
127,man,angry,2009,99
48,man,neutral,2009,99
48,man,neutral,2009,99
115,woman,angry,2009,99
95,man,sad,2009,99
99,man,sad,2009,99
78,man,angry,2009,99
105,man,angry,2009,99
43,man,neutral,2009,99
21,man,happy,2009,99
57,man,happy,2009,99
124,woman,sad,2009,99
124,man,angry,2009,99
64,man,happy,2009,99
64,man,happy,2009,99
112,woman,angry,2009,99
72,man,sad,2009,99
79,man,angry,2009,99
23,man,neutral,2009,99
23,woman,angry,2009,99
23,man,neutral,2009,99
25,man,sad,2009,99
80,man,angry,2009,99
