frame_number,man/woman,emotion,year,movie_name
93,woman,happy,2009,aladin
93,man,neutral,2009,aladin
85,woman,sad,2009,aladin
98,woman,sad,2009,aladin
88,man,neutral,2009,aladin
128,woman,sad,2009,aladin
140,man,happy,2009,aladin
140,man,neutral,2009,aladin
86,man,happy,2009,aladin
104,man,angry,2009,aladin
70,man,fear,2009,aladin
116,man,happy,2009,aladin
135,man,happy,2009,aladin
110,woman,angry,2009,aladin
136,man,neutral,2009,aladin
113,man,neutral,2009,aladin
123,man,angry,2009,aladin
115,man,angry,2009,aladin
99,man,sad,2009,aladin
114,man,happy,2009,aladin
112,man,happy,2009,aladin
139,man,neutral,2009,aladin
139,man,happy,2009,aladin
