frame_number,man/woman,emotion,year,movie_name
98,man,happy,2009,all_the_best:_fun_begins
45,man,surprise,2009,all_the_best:_fun_begins
59,man,neutral,2009,all_the_best:_fun_begins
68,woman,neutral,2009,all_the_best:_fun_begins
68,man,neutral,2009,all_the_best:_fun_begins
49,man,neutral,2009,all_the_best:_fun_begins
82,man,neutral,2009,all_the_best:_fun_begins
24,man,happy,2009,all_the_best:_fun_begins
78,man,sad,2009,all_the_best:_fun_begins
23,man,happy,2009,all_the_best:_fun_begins
31,woman,neutral,2009,all_the_best:_fun_begins
