frame_number,man/woman,emotion,year,movie_name
85,man,happy,2009,billu
62,man,sad,2009,billu
62,man,angry,2009,billu
60,woman,happy,2009,billu
94,woman,fear,2009,billu
58,man,happy,2009,billu
61,man,angry,2009,billu
61,man,neutral,2009,billu
88,man,neutral,2009,billu
45,man,sad,2009,billu
55,man,happy,2009,billu
59,man,happy,2009,billu
63,woman,neutral,2009,billu
40,man,neutral,2009,billu
89,man,neutral,2009,billu
74,woman,angry,2009,billu
37,man,angry,2009,billu
84,man,happy,2009,billu
77,man,neutral,2009,billu
87,man,neutral,2009,billu
82,man,sad,2009,billu
41,man,neutral,2009,billu
39,man,angry,2009,billu
32,woman,happy,2009,billu
95,woman,fear,2009,billu
78,woman,happy,2009,billu
21,man,sad,2009,billu
64,man,neutral,2009,billu
25,man,neutral,2009,billu
31,woman,happy,2009,billu
