frame_number,man/woman,emotion,year,movie_name
122,man,neutral,2009,chandni_chowk_to_china
244,man,neutral,2009,chandni_chowk_to_china
195,man,fear,2009,chandni_chowk_to_china
51,woman,sad,2009,chandni_chowk_to_china
98,woman,neutral,2009,chandni_chowk_to_china
249,man,neutral,2009,chandni_chowk_to_china
118,woman,neutral,2009,chandni_chowk_to_china
218,man,sad,2009,chandni_chowk_to_china
131,man,sad,2009,chandni_chowk_to_china
263,man,sad,2009,chandni_chowk_to_china
147,man,angry,2009,chandni_chowk_to_china
273,woman,sad,2009,chandni_chowk_to_china
240,man,neutral,2009,chandni_chowk_to_china
15,woman,neutral,2009,chandni_chowk_to_china
108,man,sad,2009,chandni_chowk_to_china
108,woman,neutral,2009,chandni_chowk_to_china
108,man,fear,2009,chandni_chowk_to_china
149,man,angry,2009,chandni_chowk_to_china
149,man,fear,2009,chandni_chowk_to_china
149,man,sad,2009,chandni_chowk_to_china
155,man,neutral,2009,chandni_chowk_to_china
156,woman,neutral,2009,chandni_chowk_to_china
158,man,sad,2009,chandni_chowk_to_china
107,man,sad,2009,chandni_chowk_to_china
107,man,neutral,2009,chandni_chowk_to_china
104,man,sad,2009,chandni_chowk_to_china
104,man,neutral,2009,chandni_chowk_to_china
219,man,angry,2009,chandni_chowk_to_china
106,man,neutral,2009,chandni_chowk_to_china
106,man,neutral,2009,chandni_chowk_to_china
150,woman,sad,2009,chandni_chowk_to_china
274,woman,fear,2009,chandni_chowk_to_china
250,man,happy,2009,chandni_chowk_to_china
38,man,angry,2009,chandni_chowk_to_china
191,man,neutral,2009,chandni_chowk_to_china
235,woman,surprise,2009,chandni_chowk_to_china
267,man,neutral,2009,chandni_chowk_to_china
205,man,sad,2009,chandni_chowk_to_china
103,man,neutral,2009,chandni_chowk_to_china
103,man,sad,2009,chandni_chowk_to_china
116,woman,neutral,2009,chandni_chowk_to_china
246,man,happy,2009,chandni_chowk_to_china
233,man,neutral,2009,chandni_chowk_to_china
143,man,neutral,2009,chandni_chowk_to_china
206,man,neutral,2009,chandni_chowk_to_china
220,man,fear,2009,chandni_chowk_to_china
109,man,neutral,2009,chandni_chowk_to_china
102,woman,neutral,2009,chandni_chowk_to_china
102,man,angry,2009,chandni_chowk_to_china
242,man,neutral,2009,chandni_chowk_to_china
261,man,sad,2009,chandni_chowk_to_china
110,woman,neutral,2009,chandni_chowk_to_china
129,man,neutral,2009,chandni_chowk_to_china
190,man,sad,2009,chandni_chowk_to_china
190,man,happy,2009,chandni_chowk_to_china
164,woman,neutral,2009,chandni_chowk_to_china
151,man,sad,2009,chandni_chowk_to_china
204,woman,neutral,2009,chandni_chowk_to_china
161,woman,neutral,2009,chandni_chowk_to_china
199,man,neutral,2009,chandni_chowk_to_china
248,woman,sad,2009,chandni_chowk_to_china
144,man,angry,2009,chandni_chowk_to_china
221,man,neutral,2009,chandni_chowk_to_china
166,man,neutral,2009,chandni_chowk_to_china
153,man,sad,2009,chandni_chowk_to_china
245,man,neutral,2009,chandni_chowk_to_china
169,man,sad,2009,chandni_chowk_to_china
238,man,neutral,2009,chandni_chowk_to_china
234,man,neutral,2009,chandni_chowk_to_china
50,woman,fear,2009,chandni_chowk_to_china
257,woman,neutral,2009,chandni_chowk_to_china
241,man,neutral,2009,chandni_chowk_to_china
243,man,neutral,2009,chandni_chowk_to_china
123,woman,neutral,2009,chandni_chowk_to_china
247,man,happy,2009,chandni_chowk_to_china
237,woman,angry,2009,chandni_chowk_to_china
237,man,angry,2009,chandni_chowk_to_china
100,woman,neutral,2009,chandni_chowk_to_china
256,man,neutral,2009,chandni_chowk_to_china
148,man,sad,2009,chandni_chowk_to_china
39,woman,neutral,2009,chandni_chowk_to_china
271,man,sad,2009,chandni_chowk_to_china
157,woman,sad,2009,chandni_chowk_to_china
236,woman,angry,2009,chandni_chowk_to_china
101,man,angry,2009,chandni_chowk_to_china
101,man,sad,2009,chandni_chowk_to_china
101,man,sad,2009,chandni_chowk_to_china
99,woman,neutral,2009,chandni_chowk_to_china
117,woman,neutral,2009,chandni_chowk_to_china
97,man,angry,2009,chandni_chowk_to_china
260,man,sad,2009,chandni_chowk_to_china
239,man,neutral,2009,chandni_chowk_to_china
222,man,sad,2009,chandni_chowk_to_china
105,man,neutral,2009,chandni_chowk_to_china
105,man,neutral,2009,chandni_chowk_to_china
192,woman,neutral,2009,chandni_chowk_to_china
272,man,neutral,2009,chandni_chowk_to_china
6,woman,fear,2009,chandni_chowk_to_china
152,man,angry,2009,chandni_chowk_to_china
189,man,happy,2009,chandni_chowk_to_china
189,man,angry,2009,chandni_chowk_to_china
124,woman,neutral,2009,chandni_chowk_to_china
258,woman,neutral,2009,chandni_chowk_to_china
130,man,sad,2009,chandni_chowk_to_china
5,man,neutral,2009,chandni_chowk_to_china
5,man,fear,2009,chandni_chowk_to_china
255,woman,neutral,2009,chandni_chowk_to_china
139,man,sad,2009,chandni_chowk_to_china
188,man,sad,2009,chandni_chowk_to_china
