frame_number,man/woman,emotion,year,movie_name
93,woman,happy,2009,luck_by_chance
28,man,neutral,2009,luck_by_chance
98,man,happy,2009,luck_by_chance
118,woman,neutral,2009,luck_by_chance
132,woman,sad,2009,luck_by_chance
132,woman,sad,2009,luck_by_chance
94,man,happy,2009,luck_by_chance
131,man,happy,2009,luck_by_chance
154,man,angry,2009,luck_by_chance
30,man,angry,2009,luck_by_chance
125,man,sad,2009,luck_by_chance
211,man,sad,2009,luck_by_chance
140,man,angry,2009,luck_by_chance
149,man,sad,2009,luck_by_chance
182,man,neutral,2009,luck_by_chance
210,man,sad,2009,luck_by_chance
212,woman,neutral,2009,luck_by_chance
193,woman,surprise,2009,luck_by_chance
90,man,happy,2009,luck_by_chance
26,man,neutral,2009,luck_by_chance
142,man,neutral,2009,luck_by_chance
191,woman,neutral,2009,luck_by_chance
165,man,sad,2009,luck_by_chance
171,man,sad,2009,luck_by_chance
205,woman,surprise,2009,luck_by_chance
42,man,fear,2009,luck_by_chance
194,woman,angry,2009,luck_by_chance
138,man,neutral,2009,luck_by_chance
138,woman,happy,2009,luck_by_chance
116,woman,sad,2009,luck_by_chance
135,woman,neutral,2009,luck_by_chance
206,man,neutral,2009,luck_by_chance
175,woman,sad,2009,luck_by_chance
92,man,happy,2009,luck_by_chance
29,man,angry,2009,luck_by_chance
164,man,angry,2009,luck_by_chance
151,man,sad,2009,luck_by_chance
183,man,sad,2009,luck_by_chance
199,man,neutral,2009,luck_by_chance
209,woman,neutral,2009,luck_by_chance
181,man,neutral,2009,luck_by_chance
133,man,sad,2009,luck_by_chance
133,woman,sad,2009,luck_by_chance
27,man,neutral,2009,luck_by_chance
141,man,neutral,2009,luck_by_chance
41,man,angry,2009,luck_by_chance
134,woman,sad,2009,luck_by_chance
166,woman,neutral,2009,luck_by_chance
153,man,angry,2009,luck_by_chance
50,man,happy,2009,luck_by_chance
32,man,happy,2009,luck_by_chance
115,woman,surprise,2009,luck_by_chance
126,man,happy,2009,luck_by_chance
101,man,neutral,2009,luck_by_chance
159,woman,fear,2009,luck_by_chance
99,man,happy,2009,luck_by_chance
117,woman,surprise,2009,luck_by_chance
198,man,sad,2009,luck_by_chance
34,man,surprise,2009,luck_by_chance
200,man,neutral,2009,luck_by_chance
43,man,angry,2009,luck_by_chance
192,woman,neutral,2009,luck_by_chance
114,woman,sad,2009,luck_by_chance
152,woman,sad,2009,luck_by_chance
124,woman,happy,2009,luck_by_chance
177,woman,happy,2009,luck_by_chance
