frame_number,man/woman,emotion,year,movie_name
14,man,neutral,2009,rocket_singh:_salesman_of_the_year
85,man,neutral,2009,rocket_singh:_salesman_of_the_year
28,man,neutral,2009,rocket_singh:_salesman_of_the_year
51,man,neutral,2009,rocket_singh:_salesman_of_the_year
44,man,fear,2009,rocket_singh:_salesman_of_the_year
88,man,neutral,2009,rocket_singh:_salesman_of_the_year
15,man,sad,2009,rocket_singh:_salesman_of_the_year
45,man,fear,2009,rocket_singh:_salesman_of_the_year
55,man,sad,2009,rocket_singh:_salesman_of_the_year
36,man,neutral,2009,rocket_singh:_salesman_of_the_year
52,man,fear,2009,rocket_singh:_salesman_of_the_year
70,man,neutral,2009,rocket_singh:_salesman_of_the_year
38,man,happy,2009,rocket_singh:_salesman_of_the_year
49,man,neutral,2009,rocket_singh:_salesman_of_the_year
42,man,neutral,2009,rocket_singh:_salesman_of_the_year
40,man,neutral,2009,rocket_singh:_salesman_of_the_year
56,man,sad,2009,rocket_singh:_salesman_of_the_year
33,man,neutral,2009,rocket_singh:_salesman_of_the_year
29,man,surprise,2009,rocket_singh:_salesman_of_the_year
37,man,happy,2009,rocket_singh:_salesman_of_the_year
13,man,happy,2009,rocket_singh:_salesman_of_the_year
77,man,neutral,2009,rocket_singh:_salesman_of_the_year
27,man,neutral,2009,rocket_singh:_salesman_of_the_year
24,man,fear,2009,rocket_singh:_salesman_of_the_year
46,man,neutral,2009,rocket_singh:_salesman_of_the_year
41,man,happy,2009,rocket_singh:_salesman_of_the_year
81,man,neutral,2009,rocket_singh:_salesman_of_the_year
39,man,neutral,2009,rocket_singh:_salesman_of_the_year
32,man,sad,2009,rocket_singh:_salesman_of_the_year
47,man,fear,2009,rocket_singh:_salesman_of_the_year
48,man,happy,2009,rocket_singh:_salesman_of_the_year
78,man,neutral,2009,rocket_singh:_salesman_of_the_year
34,man,neutral,2009,rocket_singh:_salesman_of_the_year
43,man,neutral,2009,rocket_singh:_salesman_of_the_year
73,man,happy,2009,rocket_singh:_salesman_of_the_year
57,man,sad,2009,rocket_singh:_salesman_of_the_year
72,man,neutral,2009,rocket_singh:_salesman_of_the_year
79,man,neutral,2009,rocket_singh:_salesman_of_the_year
25,man,neutral,2009,rocket_singh:_salesman_of_the_year
80,man,neutral,2009,rocket_singh:_salesman_of_the_year
