frame_number,man/woman,emotion,year,movie_name
14,woman,sad,2009,straight
85,woman,neutral,2009,straight
85,woman,fear,2009,straight
28,man,happy,2009,straight
28,man,neutral,2009,straight
98,woman,angry,2009,straight
98,woman,neutral,2009,straight
44,woman,angry,2009,straight
44,woman,angry,2009,straight
11,man,neutral,2009,straight
96,man,angry,2009,straight
96,man,neutral,2009,straight
96,woman,neutral,2009,straight
71,man,happy,2009,straight
15,man,angry,2009,straight
15,man,sad,2009,straight
86,woman,neutral,2009,straight
86,woman,neutral,2009,straight
104,woman,angry,2009,straight
106,man,angry,2009,straight
52,man,angry,2009,straight
68,woman,neutral,2009,straight
12,man,neutral,2009,straight
8,man,fear,2009,straight
49,man,neutral,2009,straight
69,man,angry,2009,straight
69,man,neutral,2009,straight
67,woman,neutral,2009,straight
42,woman,neutral,2009,straight
42,man,neutral,2009,straight
103,man,neutral,2009,straight
109,man,sad,2009,straight
102,woman,sad,2009,straight
29,man,happy,2009,straight
29,woman,neutral,2009,straight
83,man,sad,2009,straight
66,woman,neutral,2009,straight
84,man,happy,2009,straight
84,woman,happy,2009,straight
13,woman,sad,2009,straight
87,woman,neutral,2009,straight
87,woman,neutral,2009,straight
17,man,happy,2009,straight
65,man,neutral,2009,straight
10,woman,neutral,2009,straight
10,man,neutral,2009,straight
50,man,neutral,2009,straight
113,man,happy,2009,straight
113,man,neutral,2009,straight
9,man,happy,2009,straight
47,woman,happy,2009,straight
48,man,sad,2009,straight
115,man,happy,2009,straight
101,woman,happy,2009,straight
97,woman,neutral,2009,straight
43,woman,neutral,2009,straight
114,man,neutral,2009,straight
114,woman,happy,2009,straight
72,man,happy,2009,straight
72,woman,happy,2009,straight
18,woman,happy,2009,straight
