frame_number,man/woman,emotion,year,movie_name
93,man,angry,2010,332_mumbai_to_india
94,man,angry,2010,332_mumbai_to_india
94,man,neutral,2010,332_mumbai_to_india
44,man,neutral,2010,332_mumbai_to_india
71,woman,sad,2010,332_mumbai_to_india
76,man,angry,2010,332_mumbai_to_india
45,man,fear,2010,332_mumbai_to_india
90,man,angry,2010,332_mumbai_to_india
103,man,happy,2010,332_mumbai_to_india
54,man,sad,2010,332_mumbai_to_india
82,man,fear,2010,332_mumbai_to_india
101,man,happy,2010,332_mumbai_to_india
57,man,sad,2010,332_mumbai_to_india
72,man,neutral,2010,332_mumbai_to_india
75,man,sad,2010,332_mumbai_to_india
