frame_number,man/woman,emotion,year,movie_name
93,man,sad,2010,action_replayy
14,man,angry,2010,action_replayy
85,man,neutral,2010,action_replayy
58,man,sad,2010,action_replayy
88,man,happy,2010,action_replayy
3,man,neutral,2010,action_replayy
15,man,neutral,2010,action_replayy
86,woman,sad,2010,action_replayy
45,man,happy,2010,action_replayy
55,man,happy,2010,action_replayy
91,woman,happy,2010,action_replayy
59,woman,surprise,2010,action_replayy
104,woman,angry,2010,action_replayy
90,woman,happy,2010,action_replayy
145,woman,happy,2010,action_replayy
145,woman,sad,2010,action_replayy
12,woman,neutral,2010,action_replayy
63,man,surprise,2010,action_replayy
89,man,fear,2010,action_replayy
135,man,neutral,2010,action_replayy
135,man,angry,2010,action_replayy
56,woman,happy,2010,action_replayy
83,man,angry,2010,action_replayy
84,woman,neutral,2010,action_replayy
144,woman,happy,2010,action_replayy
13,man,surprise,2010,action_replayy
133,man,neutral,2010,action_replayy
87,woman,angry,2010,action_replayy
82,woman,neutral,2010,action_replayy
46,man,neutral,2010,action_replayy
134,man,neutral,2010,action_replayy
81,man,angry,2010,action_replayy
47,woman,neutral,2010,action_replayy
137,woman,angry,2010,action_replayy
137,woman,neutral,2010,action_replayy
57,man,happy,2010,action_replayy
80,man,sad,2010,action_replayy
