frame_number,man/woman,emotion,year,movie_name
111,man,neutral,2010,atithi_tum_kab_jaoge?
111,man,angry,2010,atithi_tum_kab_jaoge?
140,man,neutral,2010,atithi_tum_kab_jaoge?
104,man,disgust,2010,atithi_tum_kab_jaoge?
70,man,neutral,2010,atithi_tum_kab_jaoge?
138,woman,sad,2010,atithi_tum_kab_jaoge?
89,woman,fear,2010,atithi_tum_kab_jaoge?
135,man,neutral,2010,atithi_tum_kab_jaoge?
143,man,neutral,2010,atithi_tum_kab_jaoge?
74,woman,happy,2010,atithi_tum_kab_jaoge?
110,man,happy,2010,atithi_tum_kab_jaoge?
110,man,sad,2010,atithi_tum_kab_jaoge?
110,woman,happy,2010,atithi_tum_kab_jaoge?
144,woman,angry,2010,atithi_tum_kab_jaoge?
136,man,happy,2010,atithi_tum_kab_jaoge?
146,woman,angry,2010,atithi_tum_kab_jaoge?
141,man,angry,2010,atithi_tum_kab_jaoge?
113,man,surprise,2010,atithi_tum_kab_jaoge?
137,woman,sad,2010,atithi_tum_kab_jaoge?
73,man,happy,2010,atithi_tum_kab_jaoge?
139,man,sad,2010,atithi_tum_kab_jaoge?
