frame_number,man/woman,emotion,year,movie_name
149,man,disgust,2010,click
156,man,angry,2010,click
35,man,angry,2010,click
158,man,angry,2010,click
104,man,neutral,2010,click
52,woman,sad,2010,click
68,man,angry,2010,click
68,man,neutral,2010,click
90,woman,fear,2010,click
26,man,happy,2010,click
12,woman,sad,2010,click
49,man,surprise,2010,click
103,man,angry,2010,click
89,man,neutral,2010,click
146,man,fear,2010,click
148,man,neutral,2010,click
157,man,sad,2010,click
159,man,angry,2010,click
64,man,fear,2010,click
