frame_number,man/woman,emotion,year,movie_name
98,man,fear,2010,golmaal_3
19,woman,happy,2010,golmaal_3
76,man,fear,2010,golmaal_3
86,man,angry,2010,golmaal_3
86,man,fear,2010,golmaal_3
91,man,happy,2010,golmaal_3
12,man,happy,2010,golmaal_3
8,man,angry,2010,golmaal_3
129,man,fear,2010,golmaal_3
13,woman,fear,2010,golmaal_3
65,man,neutral,2010,golmaal_3
153,man,angry,2010,golmaal_3
50,man,happy,2010,golmaal_3
148,man,happy,2010,golmaal_3
117,man,happy,2010,golmaal_3
21,man,happy,2010,golmaal_3
6,man,fear,2010,golmaal_3
124,woman,angry,2010,golmaal_3
75,man,surprise,2010,golmaal_3
80,man,angry,2010,golmaal_3
