frame_number,man/woman,emotion,year,movie_name
122,woman,happy,2010,hisss
51,man,fear,2010,hisss
60,woman,fear,2010,hisss
60,woman,angry,2010,hisss
118,woman,happy,2010,hisss
111,woman,sad,2010,hisss
61,woman,fear,2010,hisss
44,man,sad,2010,hisss
11,man,surprise,2010,hisss
30,man,happy,2010,hisss
45,man,angry,2010,hisss
59,man,sad,2010,hisss
106,woman,neutral,2010,hisss
42,man,neutral,2010,hisss
82,woman,neutral,2010,hisss
119,man,fear,2010,hisss
50,man,angry,2010,hisss
95,man,angry,2010,hisss
105,woman,angry,2010,hisss
21,man,sad,2010,hisss
21,man,fear,2010,hisss
73,man,sad,2010,hisss
80,man,fear,2010,hisss
31,man,happy,2010,hisss
