frame_number,man/woman,emotion,year,movie_name
98,man,angry,2010,housefull
60,man,angry,2010,housefull
60,woman,neutral,2010,housefull
58,man,angry,2010,housefull
44,man,happy,2010,housefull
96,man,fear,2010,housefull
71,woman,happy,2010,housefull
71,man,fear,2010,housefull
71,woman,happy,2010,housefull
15,woman,surprise,2010,housefull
19,man,happy,2010,housefull
59,man,angry,2010,housefull
90,woman,happy,2010,housefull
26,man,happy,2010,housefull
26,man,surprise,2010,housefull
12,woman,happy,2010,housefull
8,woman,angry,2010,housefull
63,man,fear,2010,housefull
33,man,happy,2010,housefull
74,man,angry,2010,housefull
77,man,surprise,2010,housefull
24,man,surprise,2010,housefull
24,man,disgust,2010,housefull
16,woman,surprise,2010,housefull
17,man,happy,2010,housefull
113,woman,sad,2010,housefull
9,woman,angry,2010,housefull
32,man,happy,2010,housefull
97,man,fear,2010,housefull
43,woman,happy,2010,housefull
22,man,happy,2010,housefull
22,man,sad,2010,housefull
73,woman,neutral,2010,housefull
64,man,neutral,2010,housefull
23,woman,happy,2010,housefull
23,man,angry,2010,housefull
25,man,surprise,2010,housefull
25,man,sad,2010,housefull
