frame_number,man/woman,emotion,year,movie_name
122,man,angry,2010,hum_tum_aur_ghost
44,man,sad,2010,hum_tum_aur_ghost
88,man,neutral,2010,hum_tum_aur_ghost
71,woman,happy,2010,hum_tum_aur_ghost
71,woman,happy,2010,hum_tum_aur_ghost
125,man,happy,2010,hum_tum_aur_ghost
108,woman,sad,2010,hum_tum_aur_ghost
107,woman,sad,2010,hum_tum_aur_ghost
121,man,angry,2010,hum_tum_aur_ghost
70,man,happy,2010,hum_tum_aur_ghost
70,woman,happy,2010,hum_tum_aur_ghost
38,man,sad,2010,hum_tum_aur_ghost
42,man,sad,2010,hum_tum_aur_ghost
40,man,fear,2010,hum_tum_aur_ghost
89,man,angry,2010,hum_tum_aur_ghost
83,man,neutral,2010,hum_tum_aur_ghost
144,man,neutral,2010,hum_tum_aur_ghost
27,woman,fear,2010,hum_tum_aur_ghost
146,man,angry,2010,hum_tum_aur_ghost
87,man,surprise,2010,hum_tum_aur_ghost
82,man,neutral,2010,hum_tum_aur_ghost
41,man,angry,2010,hum_tum_aur_ghost
81,man,neutral,2010,hum_tum_aur_ghost
148,man,neutral,2010,hum_tum_aur_ghost
39,man,sad,2010,hum_tum_aur_ghost
32,man,angry,2010,hum_tum_aur_ghost
105,man,sad,2010,hum_tum_aur_ghost
43,man,sad,2010,hum_tum_aur_ghost
124,man,neutral,2010,hum_tum_aur_ghost
72,man,happy,2010,hum_tum_aur_ghost
72,woman,happy,2010,hum_tum_aur_ghost
139,man,neutral,2010,hum_tum_aur_ghost
