frame_number,man/woman,emotion,year,movie_name
122,woman,happy,2010,i_hate_luv_storys
62,man,sad,2010,i_hate_luv_storys
60,woman,neutral,2010,i_hate_luv_storys
58,woman,neutral,2010,i_hate_luv_storys
61,man,sad,2010,i_hate_luv_storys
88,man,happy,2010,i_hate_luv_storys
71,man,neutral,2010,i_hate_luv_storys
86,man,happy,2010,i_hate_luv_storys
45,man,happy,2010,i_hate_luv_storys
55,man,neutral,2010,i_hate_luv_storys
91,man,neutral,2010,i_hate_luv_storys
35,man,sad,2010,i_hate_luv_storys
59,man,neutral,2010,i_hate_luv_storys
107,woman,neutral,2010,i_hate_luv_storys
90,man,sad,2010,i_hate_luv_storys
8,woman,neutral,2010,i_hate_luv_storys
63,woman,happy,2010,i_hate_luv_storys
42,man,angry,2010,i_hate_luv_storys
54,man,sad,2010,i_hate_luv_storys
138,man,happy,2010,i_hate_luv_storys
89,man,neutral,2010,i_hate_luv_storys
135,man,happy,2010,i_hate_luv_storys
56,woman,sad,2010,i_hate_luv_storys
92,man,neutral,2010,i_hate_luv_storys
136,man,happy,2010,i_hate_luv_storys
77,man,neutral,2010,i_hate_luv_storys
87,man,happy,2010,i_hate_luv_storys
17,woman,neutral,2010,i_hate_luv_storys
65,woman,surprise,2010,i_hate_luv_storys
10,woman,happy,2010,i_hate_luv_storys
134,man,happy,2010,i_hate_luv_storys
113,man,angry,2010,i_hate_luv_storys
123,man,neutral,2010,i_hate_luv_storys
47,man,happy,2010,i_hate_luv_storys
137,man,neutral,2010,i_hate_luv_storys
78,man,neutral,2010,i_hate_luv_storys
114,man,fear,2010,i_hate_luv_storys
22,woman,happy,2010,i_hate_luv_storys
57,man,angry,2010,i_hate_luv_storys
64,woman,happy,2010,i_hate_luv_storys
112,man,neutral,2010,i_hate_luv_storys
79,man,neutral,2010,i_hate_luv_storys
23,woman,happy,2010,i_hate_luv_storys
18,man,angry,2010,i_hate_luv_storys
80,man,neutral,2010,i_hate_luv_storys
