frame_number,man/woman,emotion,year,movie_name
122,man,happy,2010,ishqiya
85,man,neutral,2010,ishqiya
60,man,neutral,2010,ishqiya
58,man,angry,2010,ishqiya
61,woman,sad,2010,ishqiya
147,man,angry,2010,ishqiya
154,man,neutral,2010,ishqiya
71,man,sad,2010,ishqiya
30,man,sad,2010,ishqiya
30,man,happy,2010,ishqiya
155,man,neutral,2010,ishqiya
156,man,neutral,2010,ishqiya
35,man,happy,2010,ishqiya
158,man,neutral,2010,ishqiya
59,woman,neutral,2010,ishqiya
104,man,angry,2010,ishqiya
150,woman,sad,2010,ishqiya
70,man,sad,2010,ishqiya
142,man,sad,2010,ishqiya
42,man,happy,2010,ishqiya
138,man,happy,2010,ishqiya
33,man,happy,2010,ishqiya
129,woman,sad,2010,ishqiya
151,woman,sad,2010,ishqiya
84,man,angry,2010,ishqiya
77,woman,neutral,2010,ishqiya
82,woman,sad,2010,ishqiya
141,man,sad,2010,ishqiya
153,woman,neutral,2010,ishqiya
160,man,angry,2010,ishqiya
81,woman,happy,2010,ishqiya
123,man,happy,2010,ishqiya
32,man,happy,2010,ishqiya
32,man,happy,2010,ishqiya
137,man,sad,2010,ishqiya
99,woman,sad,2010,ishqiya
78,woman,sad,2010,ishqiya
117,man,angry,2010,ishqiya
34,man,happy,2010,ishqiya
114,man,sad,2010,ishqiya
152,woman,sad,2010,ishqiya
31,man,happy,2010,ishqiya
31,man,happy,2010,ishqiya
