frame_number,man/woman,emotion,year,movie_name
93,man,happy,2010,it's_a_wonderful_afterlife
14,man,neutral,2010,it's_a_wonderful_afterlife
85,woman,happy,2010,it's_a_wonderful_afterlife
51,man,sad,2010,it's_a_wonderful_afterlife
44,man,neutral,2010,it's_a_wonderful_afterlife
20,man,fear,2010,it's_a_wonderful_afterlife
20,man,happy,2010,it's_a_wonderful_afterlife
71,man,sad,2010,it's_a_wonderful_afterlife
30,woman,sad,2010,it's_a_wonderful_afterlife
19,woman,neutral,2010,it's_a_wonderful_afterlife
45,woman,sad,2010,it's_a_wonderful_afterlife
35,man,angry,2010,it's_a_wonderful_afterlife
38,man,angry,2010,it's_a_wonderful_afterlife
63,woman,fear,2010,it's_a_wonderful_afterlife
33,man,happy,2010,it's_a_wonderful_afterlife
29,man,neutral,2010,it's_a_wonderful_afterlife
37,man,fear,2010,it's_a_wonderful_afterlife
82,man,sad,2010,it's_a_wonderful_afterlife
17,man,sad,2010,it's_a_wonderful_afterlife
65,woman,fear,2010,it's_a_wonderful_afterlife
41,man,sad,2010,it's_a_wonderful_afterlife
50,man,fear,2010,it's_a_wonderful_afterlife
9,man,sad,2010,it's_a_wonderful_afterlife
39,woman,sad,2010,it's_a_wonderful_afterlife
32,man,angry,2010,it's_a_wonderful_afterlife
47,man,happy,2010,it's_a_wonderful_afterlife
43,man,angry,2010,it's_a_wonderful_afterlife
43,woman,sad,2010,it's_a_wonderful_afterlife
21,woman,sad,2010,it's_a_wonderful_afterlife
22,woman,angry,2010,it's_a_wonderful_afterlife
57,woman,sad,2010,it's_a_wonderful_afterlife
64,woman,fear,2010,it's_a_wonderful_afterlife
72,woman,angry,2010,it's_a_wonderful_afterlife
80,woman,sad,2010,it's_a_wonderful_afterlife
31,man,happy,2010,it's_a_wonderful_afterlife
