frame_number,man/woman,emotion,year,movie_name
93,man,angry,2010,love_sex_aur_dhokha
94,woman,angry,2010,love_sex_aur_dhokha
4,man,happy,2010,love_sex_aur_dhokha
88,woman,angry,2010,love_sex_aur_dhokha
91,man,angry,2010,love_sex_aur_dhokha
70,woman,sad,2010,love_sex_aur_dhokha
90,man,angry,2010,love_sex_aur_dhokha
40,man,angry,2010,love_sex_aur_dhokha
89,man,angry,2010,love_sex_aur_dhokha
92,man,angry,2010,love_sex_aur_dhokha
87,man,happy,2010,love_sex_aur_dhokha
6,man,happy,2010,love_sex_aur_dhokha
5,man,happy,2010,love_sex_aur_dhokha
