frame_number,man/woman,emotion,year,movie_name
51,man,neutral,2010,milenge_milenge
51,man,neutral,2010,milenge_milenge
60,man,sad,2010,milenge_milenge
58,woman,neutral,2010,milenge_milenge
11,man,happy,2010,milenge_milenge
15,man,neutral,2010,milenge_milenge
15,man,neutral,2010,milenge_milenge
76,woman,surprise,2010,milenge_milenge
26,man,happy,2010,milenge_milenge
8,woman,happy,2010,milenge_milenge
49,man,neutral,2010,milenge_milenge
40,woman,happy,2010,milenge_milenge
56,woman,sad,2010,milenge_milenge
74,woman,sad,2010,milenge_milenge
87,man,angry,2010,milenge_milenge
87,man,sad,2010,milenge_milenge
87,man,fear,2010,milenge_milenge
24,man,angry,2010,milenge_milenge
17,woman,fear,2010,milenge_milenge
17,woman,surprise,2010,milenge_milenge
81,man,happy,2010,milenge_milenge
39,man,happy,2010,milenge_milenge
21,man,happy,2010,milenge_milenge
64,man,sad,2010,milenge_milenge
23,woman,angry,2010,milenge_milenge
75,man,sad,2010,milenge_milenge
18,woman,sad,2010,milenge_milenge
25,man,angry,2010,milenge_milenge
