frame_number,man/woman,emotion,year,movie_name
51,man,angry,2010,my_name_is_khan
98,man,angry,2010,my_name_is_khan
44,man,fear,2010,my_name_is_khan
15,woman,neutral,2010,my_name_is_khan
76,woman,angry,2010,my_name_is_khan
45,woman,fear,2010,my_name_is_khan
36,woman,fear,2010,my_name_is_khan
36,woman,fear,2010,my_name_is_khan
107,man,happy,2010,my_name_is_khan
104,man,happy,2010,my_name_is_khan
52,man,disgust,2010,my_name_is_khan
26,man,happy,2010,my_name_is_khan
53,woman,sad,2010,my_name_is_khan
49,man,sad,2010,my_name_is_khan
54,man,sad,2010,my_name_is_khan
110,woman,sad,2010,my_name_is_khan
66,woman,sad,2010,my_name_is_khan
66,woman,surprise,2010,my_name_is_khan
27,man,happy,2010,my_name_is_khan
24,man,angry,2010,my_name_is_khan
16,woman,happy,2010,my_name_is_khan
17,woman,happy,2010,my_name_is_khan
65,man,sad,2010,my_name_is_khan
50,man,disgust,2010,my_name_is_khan
39,man,sad,2010,my_name_is_khan
47,man,fear,2010,my_name_is_khan
48,man,fear,2010,my_name_is_khan
99,man,angry,2010,my_name_is_khan
21,woman,fear,2010,my_name_is_khan
22,woman,happy,2010,my_name_is_khan
22,woman,happy,2010,my_name_is_khan
73,man,angry,2010,my_name_is_khan
18,woman,happy,2010,my_name_is_khan
