frame_number,man/woman,emotion,year,movie_name
44,man,angry,2010,nakshatra
154,woman,sad,2010,nakshatra
71,man,neutral,2010,nakshatra
76,man,neutral,2010,nakshatra
202,man,fear,2010,nakshatra
68,man,neutral,2010,nakshatra
70,man,neutral,2010,nakshatra
69,man,angry,2010,nakshatra
203,man,neutral,2010,nakshatra
103,man,neutral,2010,nakshatra
54,woman,sad,2010,nakshatra
116,man,sad,2010,nakshatra
179,man,sad,2010,nakshatra
109,man,neutral,2010,nakshatra
175,man,angry,2010,nakshatra
74,man,angry,2010,nakshatra
102,man,sad,2010,nakshatra
129,man,neutral,2010,nakshatra
133,man,neutral,2010,nakshatra
77,woman,neutral,2010,nakshatra
77,man,neutral,2010,nakshatra
153,woman,sad,2010,nakshatra
119,man,sad,2010,nakshatra
48,man,sad,2010,nakshatra
115,man,sad,2010,nakshatra
101,man,happy,2010,nakshatra
117,man,sad,2010,nakshatra
43,woman,neutral,2010,nakshatra
73,man,happy,2010,nakshatra
72,man,neutral,2010,nakshatra
75,man,neutral,2010,nakshatra
