frame_number,man/woman,emotion,year,movie_name
111,man,neutral,2010,no_problem
111,woman,neutral,2010,no_problem
132,man,sad,2010,no_problem
131,man,disgust,2010,no_problem
147,man,fear,2010,no_problem
154,man,happy,2010,no_problem
108,man,angry,2010,no_problem
149,man,happy,2010,no_problem
149,man,angry,2010,no_problem
155,woman,neutral,2010,no_problem
156,man,happy,2010,no_problem
91,man,angry,2010,no_problem
158,woman,angry,2010,no_problem
59,man,sad,2010,no_problem
107,man,angry,2010,no_problem
104,woman,sad,2010,no_problem
106,woman,angry,2010,no_problem
90,man,disgust,2010,no_problem
38,man,angry,2010,no_problem
38,man,sad,2010,no_problem
145,man,surprise,2010,no_problem
69,man,sad,2010,no_problem
103,woman,fear,2010,no_problem
103,woman,happy,2010,no_problem
138,man,happy,2010,no_problem
89,man,angry,2010,no_problem
56,woman,sad,2010,no_problem
33,woman,happy,2010,no_problem
143,woman,disgust,2010,no_problem
143,woman,surprise,2010,no_problem
143,man,angry,2010,no_problem
178,woman,happy,2010,no_problem
178,man,happy,2010,no_problem
92,man,angry,2010,no_problem
37,woman,neutral,2010,no_problem
37,man,sad,2010,no_problem
164,man,neutral,2010,no_problem
164,woman,happy,2010,no_problem
164,woman,neutral,2010,no_problem
161,man,happy,2010,no_problem
144,woman,surprise,2010,no_problem
133,man,angry,2010,no_problem
136,man,fear,2010,no_problem
146,man,happy,2010,no_problem
87,man,angry,2010,no_problem
141,man,angry,2010,no_problem
65,man,sad,2010,no_problem
153,man,happy,2010,no_problem
160,man,happy,2010,no_problem
148,man,fear,2010,no_problem
32,woman,happy,2010,no_problem
157,man,surprise,2010,no_problem
47,man,happy,2010,no_problem
137,man,happy,2010,no_problem
48,woman,surprise,2010,no_problem
115,man,angry,2010,no_problem
159,man,angry,2010,no_problem
159,man,sad,2010,no_problem
34,woman,happy,2010,no_problem
34,man,angry,2010,no_problem
105,man,surprise,2010,no_problem
105,man,happy,2010,no_problem
114,man,neutral,2010,no_problem
73,man,angry,2010,no_problem
73,woman,sad,2010,no_problem
73,woman,sad,2010,no_problem
130,man,sad,2010,no_problem
112,woman,surprise,2010,no_problem
79,woman,disgust,2010,no_problem
139,man,happy,2010,no_problem
31,man,happy,2010,no_problem
