frame_number,man/woman,emotion,year,movie_name
98,man,sad,2010,peepli_live
98,man,neutral,2010,peepli_live
62,man,sad,2010,peepli_live
58,man,neutral,2010,peepli_live
58,woman,neutral,2010,peepli_live
44,man,angry,2010,peepli_live
96,man,sad,2010,peepli_live
140,man,sad,2010,peepli_live
55,man,sad,2010,peepli_live
91,woman,sad,2010,peepli_live
53,man,angry,2010,peepli_live
8,woman,angry,2010,peepli_live
54,man,angry,2010,peepli_live
89,man,neutral,2010,peepli_live
33,man,angry,2010,peepli_live
74,man,neutral,2010,peepli_live
84,man,happy,2010,peepli_live
84,man,angry,2010,peepli_live
87,man,neutral,2010,peepli_live
113,man,angry,2010,peepli_live
113,man,neutral,2010,peepli_live
100,man,angry,2010,peepli_live
47,man,happy,2010,peepli_live
48,man,sad,2010,peepli_live
95,man,happy,2010,peepli_live
99,man,sad,2010,peepli_live
117,woman,sad,2010,peepli_live
117,woman,sad,2010,peepli_live
97,man,disgust,2010,peepli_live
105,man,sad,2010,peepli_live
43,man,neutral,2010,peepli_live
114,woman,sad,2010,peepli_live
112,man,fear,2010,peepli_live
79,woman,happy,2010,peepli_live
139,woman,happy,2010,peepli_live
