frame_number,man/woman,emotion,year,movie_name
85,man,sad,2010,rakta_charitra
51,man,sad,2010,rakta_charitra
88,man,sad,2010,rakta_charitra
71,man,sad,2010,rakta_charitra
91,man,sad,2010,rakta_charitra
70,man,neutral,2010,rakta_charitra
90,man,sad,2010,rakta_charitra
38,man,sad,2010,rakta_charitra
8,man,sad,2010,rakta_charitra
49,man,sad,2010,rakta_charitra
67,man,sad,2010,rakta_charitra
89,man,sad,2010,rakta_charitra
92,man,sad,2010,rakta_charitra
37,man,happy,2010,rakta_charitra
16,man,happy,2010,rakta_charitra
10,man,sad,2010,rakta_charitra
9,man,sad,2010,rakta_charitra
48,man,sad,2010,rakta_charitra
