frame_number,man/woman,emotion,year,movie_name
85,woman,sad,2010,rann
28,man,sad,2010,rann
60,man,happy,2010,rann
20,man,angry,2010,rann
30,man,angry,2010,rann
19,man,disgust,2010,rann
108,man,sad,2010,rann
86,man,angry,2010,rann
68,man,sad,2010,rann
121,man,neutral,2010,rann
70,man,angry,2010,rann
69,man,fear,2010,rann
56,man,neutral,2010,rann
109,man,neutral,2010,rann
29,man,fear,2010,rann
83,man,angry,2010,rann
27,woman,neutral,2010,rann
82,man,angry,2010,rann
46,man,neutral,2010,rann
46,woman,sad,2010,rann
115,man,angry,2010,rann
18,man,angry,2010,rann
