frame_number,man/woman,emotion,year,movie_name
44,man,sad,2010,red_alert:_the_war_within
44,man,angry,2010,red_alert:_the_war_within
45,man,sad,2010,red_alert:_the_war_within
104,man,neutral,2010,red_alert:_the_war_within
106,man,sad,2010,red_alert:_the_war_within
102,man,sad,2010,red_alert:_the_war_within
87,man,neutral,2010,red_alert:_the_war_within
100,man,angry,2010,red_alert:_the_war_within
99,woman,sad,2010,red_alert:_the_war_within
78,man,sad,2010,red_alert:_the_war_within
105,woman,angry,2010,red_alert:_the_war_within
