frame_number,man/woman,emotion,year,movie_name
93,woman,fear,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
98,man,neutral,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
60,man,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
94,woman,fear,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
58,woman,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
61,woman,sad,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
44,man,neutral,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
76,man,fear,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
45,woman,fear,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
59,woman,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
69,man,neutral,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
103,woman,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
74,man,fear,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
92,woman,fear,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
102,woman,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
77,man,fear,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
46,man,neutral,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
16,woman,sad,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
17,man,sad,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
81,woman,sad,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
39,man,neutral,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
39,man,sad,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
48,woman,sad,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
43,man,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
57,woman,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
64,woman,happy,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
112,woman,neutral,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
80,man,neutral,2010,"shahrukh_bola_""khoobsurat_hai_tu"""
