frame_number,man/woman,emotion,year,movie_name
58,man,neutral,2010,tere_bin_laden
61,man,angry,2010,tere_bin_laden
4,woman,angry,2010,tere_bin_laden
45,man,neutral,2010,tere_bin_laden
45,man,surprise,2010,tere_bin_laden
55,man,neutral,2010,tere_bin_laden
55,man,neutral,2010,tere_bin_laden
35,man,sad,2010,tere_bin_laden
52,man,neutral,2010,tere_bin_laden
53,man,neutral,2010,tere_bin_laden
54,man,neutral,2010,tere_bin_laden
56,man,neutral,2010,tere_bin_laden
83,man,fear,2010,tere_bin_laden
77,man,neutral,2010,tere_bin_laden
82,man,fear,2010,tere_bin_laden
10,man,sad,2010,tere_bin_laden
81,man,fear,2010,tere_bin_laden
50,man,neutral,2010,tere_bin_laden
9,man,angry,2010,tere_bin_laden
78,man,fear,2010,tere_bin_laden
34,man,sad,2010,tere_bin_laden
6,man,neutral,2010,tere_bin_laden
57,man,neutral,2010,tere_bin_laden
5,man,neutral,2010,tere_bin_laden
79,man,fear,2010,tere_bin_laden
80,man,fear,2010,tere_bin_laden
