frame_number,man/woman,emotion,year,movie_name
85,woman,neutral,2010,udaan
111,woman,neutral,2010,udaan
44,man,fear,2010,udaan
88,man,sad,2010,udaan
59,man,neutral,2010,udaan
68,woman,neutral,2010,udaan
121,man,sad,2010,udaan
70,man,neutral,2010,udaan
69,woman,neutral,2010,udaan
67,woman,neutral,2010,udaan
129,man,angry,2010,udaan
84,woman,neutral,2010,udaan
82,man,happy,2010,udaan
46,man,sad,2010,udaan
81,man,happy,2010,udaan
47,man,fear,2010,udaan
43,man,fear,2010,udaan
114,woman,sad,2010,udaan
64,man,neutral,2010,udaan
112,man,sad,2010,udaan
25,woman,neutral,2010,udaan
