frame_number,man/woman,emotion,year,movie_name
14,man,fear,2010,we_are_family
111,woman,neutral,2010,we_are_family
58,woman,surprise,2010,we_are_family
11,man,disgust,2010,we_are_family
30,man,sad,2010,we_are_family
76,man,happy,2010,we_are_family
108,man,happy,2010,we_are_family
55,man,angry,2010,we_are_family
36,man,sad,2010,we_are_family
59,man,happy,2010,we_are_family
107,man,sad,2010,we_are_family
68,man,sad,2010,we_are_family
38,man,disgust,2010,we_are_family
38,man,angry,2010,we_are_family
12,woman,fear,2010,we_are_family
8,woman,happy,2010,we_are_family
69,man,sad,2010,we_are_family
67,man,sad,2010,we_are_family
54,man,surprise,2010,we_are_family
89,woman,happy,2010,we_are_family
56,woman,happy,2010,we_are_family
109,man,happy,2010,we_are_family
74,woman,fear,2010,we_are_family
29,man,angry,2010,we_are_family
110,man,happy,2010,we_are_family
37,man,sad,2010,we_are_family
83,man,fear,2010,we_are_family
13,woman,happy,2010,we_are_family
77,man,sad,2010,we_are_family
82,man,fear,2010,we_are_family
10,woman,happy,2010,we_are_family
81,man,fear,2010,we_are_family
113,man,happy,2010,we_are_family
9,man,happy,2010,we_are_family
39,man,disgust,2010,we_are_family
39,man,angry,2010,we_are_family
99,man,sad,2010,we_are_family
78,woman,sad,2010,we_are_family
73,man,fear,2010,we_are_family
57,woman,neutral,2010,we_are_family
112,man,happy,2010,we_are_family
79,man,disgust,2010,we_are_family
75,woman,happy,2010,we_are_family
80,man,angry,2010,we_are_family
31,man,surprise,2010,we_are_family
