frame_number,man/woman,emotion,year,movie_name
93,man,angry,2011,always_kabhi_kabhi
93,man,angry,2011,always_kabhi_kabhi
93,man,angry,2011,always_kabhi_kabhi
14,man,sad,2011,always_kabhi_kabhi
85,man,happy,2011,always_kabhi_kabhi
51,man,sad,2011,always_kabhi_kabhi
111,man,angry,2011,always_kabhi_kabhi
94,man,happy,2011,always_kabhi_kabhi
94,man,happy,2011,always_kabhi_kabhi
94,man,neutral,2011,always_kabhi_kabhi
11,woman,sad,2011,always_kabhi_kabhi
96,man,neutral,2011,always_kabhi_kabhi
96,woman,neutral,2011,always_kabhi_kabhi
96,man,happy,2011,always_kabhi_kabhi
96,man,happy,2011,always_kabhi_kabhi
96,man,happy,2011,always_kabhi_kabhi
88,man,angry,2011,always_kabhi_kabhi
20,man,fear,2011,always_kabhi_kabhi
20,woman,sad,2011,always_kabhi_kabhi
15,man,sad,2011,always_kabhi_kabhi
19,man,angry,2011,always_kabhi_kabhi
76,woman,happy,2011,always_kabhi_kabhi
108,man,surprise,2011,always_kabhi_kabhi
86,woman,neutral,2011,always_kabhi_kabhi
91,woman,angry,2011,always_kabhi_kabhi
107,man,surprise,2011,always_kabhi_kabhi
106,man,fear,2011,always_kabhi_kabhi
52,man,fear,2011,always_kabhi_kabhi
68,man,fear,2011,always_kabhi_kabhi
53,man,neutral,2011,always_kabhi_kabhi
53,man,sad,2011,always_kabhi_kabhi
53,man,angry,2011,always_kabhi_kabhi
12,man,happy,2011,always_kabhi_kabhi
49,woman,sad,2011,always_kabhi_kabhi
67,man,neutral,2011,always_kabhi_kabhi
54,man,sad,2011,always_kabhi_kabhi
89,woman,sad,2011,always_kabhi_kabhi
33,man,neutral,2011,always_kabhi_kabhi
33,man,angry,2011,always_kabhi_kabhi
74,man,neutral,2011,always_kabhi_kabhi
92,man,fear,2011,always_kabhi_kabhi
92,man,happy,2011,always_kabhi_kabhi
92,woman,sad,2011,always_kabhi_kabhi
92,man,neutral,2011,always_kabhi_kabhi
66,woman,surprise,2011,always_kabhi_kabhi
84,woman,angry,2011,always_kabhi_kabhi
13,man,sad,2011,always_kabhi_kabhi
7,man,neutral,2011,always_kabhi_kabhi
77,woman,happy,2011,always_kabhi_kabhi
87,woman,sad,2011,always_kabhi_kabhi
16,man,surprise,2011,always_kabhi_kabhi
17,man,angry,2011,always_kabhi_kabhi
10,woman,sad,2011,always_kabhi_kabhi
50,man,sad,2011,always_kabhi_kabhi
113,man,happy,2011,always_kabhi_kabhi
9,woman,happy,2011,always_kabhi_kabhi
32,woman,sad,2011,always_kabhi_kabhi
32,man,angry,2011,always_kabhi_kabhi
95,man,happy,2011,always_kabhi_kabhi
97,man,neutral,2011,always_kabhi_kabhi
105,woman,surprise,2011,always_kabhi_kabhi
21,man,happy,2011,always_kabhi_kabhi
21,woman,sad,2011,always_kabhi_kabhi
73,woman,happy,2011,always_kabhi_kabhi
112,man,happy,2011,always_kabhi_kabhi
79,woman,neutral,2011,always_kabhi_kabhi
75,woman,neutral,2011,always_kabhi_kabhi
18,man,angry,2011,always_kabhi_kabhi
80,woman,happy,2011,always_kabhi_kabhi
