frame_number,man/woman,emotion,year,movie_name
14,woman,disgust,2011,bubble_gum
58,woman,neutral,2011,bubble_gum
58,man,sad,2011,bubble_gum
30,woman,fear,2011,bubble_gum
45,woman,happy,2011,bubble_gum
36,woman,happy,2011,bubble_gum
70,woman,neutral,2011,bubble_gum
69,woman,happy,2011,bubble_gum
37,woman,neutral,2011,bubble_gum
37,man,angry,2011,bubble_gum
16,man,happy,2011,bubble_gum
10,man,happy,2011,bubble_gum
9,man,happy,2011,bubble_gum
47,man,happy,2011,bubble_gum
48,woman,happy,2011,bubble_gum
31,man,neutral,2011,bubble_gum
