frame_number,man/woman,emotion,year,movie_name
14,woman,disgust,2011,f
85,man,happy,2011,f
60,man,surprise,2011,f
60,man,happy,2011,f
94,man,neutral,2011,f
58,woman,fear,2011,f
11,woman,angry,2011,f
88,man,angry,2011,f
170,man,happy,2011,f
15,woman,sad,2011,f
76,man,sad,2011,f
76,man,angry,2011,f
120,man,happy,2011,f
120,man,neutral,2011,f
163,man,sad,2011,f
86,man,sad,2011,f
91,man,fear,2011,f
158,man,sad,2011,f
59,woman,happy,2011,f
168,man,neutral,2011,f
168,woman,sad,2011,f
162,man,happy,2011,f
53,woman,angry,2011,f
12,woman,sad,2011,f
8,woman,sad,2011,f
165,man,happy,2011,f
171,woman,neutral,2011,f
171,man,happy,2011,f
42,man,sad,2011,f
89,man,angry,2011,f
135,woman,neutral,2011,f
135,woman,angry,2011,f
92,woman,sad,2011,f
92,man,angry,2011,f
102,man,sad,2011,f
110,man,angry,2011,f
164,man,sad,2011,f
151,man,sad,2011,f
83,woman,disgust,2011,f
161,man,happy,2011,f
13,woman,sad,2011,f
7,woman,sad,2011,f
87,man,sad,2011,f
82,man,fear,2011,f
46,woman,angry,2011,f
16,woman,angry,2011,f
17,man,happy,2011,f
167,woman,neutral,2011,f
10,man,angry,2011,f
166,woman,neutral,2011,f
166,woman,neutral,2011,f
160,man,neutral,2011,f
160,man,happy,2011,f
81,man,happy,2011,f
169,man,happy,2011,f
169,woman,neutral,2011,f
119,man,happy,2011,f
119,man,angry,2011,f
50,woman,angry,2011,f
9,woman,sad,2011,f
100,man,neutral,2011,f
47,woman,angry,2011,f
47,woman,sad,2011,f
48,man,angry,2011,f
101,man,neutral,2011,f
159,woman,happy,2011,f
159,man,happy,2011,f
78,man,happy,2011,f
117,man,angry,2011,f
117,man,fear,2011,f
114,man,angry,2011,f
174,man,happy,2011,f
64,woman,angry,2011,f
64,man,happy,2011,f
64,man,happy,2011,f
64,man,happy,2011,f
72,man,neutral,2011,f
79,woman,happy,2011,f
75,woman,neutral,2011,f
139,woman,happy,2011,f
139,woman,fear,2011,f
