frame_number,man/woman,emotion,year,movie_name
28,man,sad,2011,force
51,man,happy,2011,force
118,man,sad,2011,force
58,man,happy,2011,force
11,woman,sad,2011,force
20,woman,happy,2011,force
76,man,happy,2011,force
120,man,angry,2011,force
45,woman,happy,2011,force
55,man,sad,2011,force
53,woman,disgust,2011,force
12,man,sad,2011,force
8,man,angry,2011,force
67,man,sad,2011,force
42,woman,happy,2011,force
54,man,angry,2011,force
40,man,happy,2011,force
40,woman,neutral,2011,force
56,woman,happy,2011,force
29,man,happy,2011,force
129,man,angry,2011,force
66,man,angry,2011,force
7,man,angry,2011,force
27,man,angry,2011,force
65,man,sad,2011,force
41,man,happy,2011,force
41,man,sad,2011,force
50,man,sad,2011,force
123,man,surprise,2011,force
39,man,happy,2011,force
127,woman,neutral,2011,force
47,woman,happy,2011,force
117,man,sad,2011,force
21,woman,happy,2011,force
22,woman,fear,2011,force
57,man,happy,2011,force
64,woman,happy,2011,force
75,man,happy,2011,force
18,man,happy,2011,force
