frame_number,man/woman,emotion,year,movie_name
62,man,neutral,2011,i_am
94,man,sad,2011,i_am
61,man,happy,2011,i_am
128,man,sad,2011,i_am
20,man,neutral,2011,i_am
140,woman,happy,2011,i_am
156,woman,neutral,2011,i_am
156,man,happy,2011,i_am
156,woman,happy,2011,i_am
107,man,sad,2011,i_am
63,man,happy,2011,i_am
89,man,sad,2011,i_am
151,man,happy,2011,i_am
151,woman,happy,2011,i_am
141,woman,happy,2011,i_am
50,man,sad,2011,i_am
148,man,neutral,2011,i_am
127,man,sad,2011,i_am
157,woman,happy,2011,i_am
157,woman,happy,2011,i_am
157,man,neutral,2011,i_am
126,man,sad,2011,i_am
126,man,sad,2011,i_am
95,man,fear,2011,i_am
139,woman,happy,2011,i_am
