frame_number,man/woman,emotion,year,movie_name
44,man,angry,2011,kaccha_limbo
20,man,happy,2011,kaccha_limbo
19,man,angry,2011,kaccha_limbo
76,woman,surprise,2011,kaccha_limbo
45,man,angry,2011,kaccha_limbo
26,woman,sad,2011,kaccha_limbo
63,man,sad,2011,kaccha_limbo
67,woman,happy,2011,kaccha_limbo
67,woman,happy,2011,kaccha_limbo
42,man,neutral,2011,kaccha_limbo
46,man,sad,2011,kaccha_limbo
47,man,angry,2011,kaccha_limbo
48,man,fear,2011,kaccha_limbo
43,man,angry,2011,kaccha_limbo
43,man,neutral,2011,kaccha_limbo
75,woman,sad,2011,kaccha_limbo
