frame_number,man/woman,emotion,year,movie_name
14,man,sad,2011,kuchh_luv_jaisaa
28,man,neutral,2011,kuchh_luv_jaisaa
51,woman,neutral,2011,kuchh_luv_jaisaa
62,man,sad,2011,kuchh_luv_jaisaa
94,man,sad,2011,kuchh_luv_jaisaa
61,man,sad,2011,kuchh_luv_jaisaa
88,man,sad,2011,kuchh_luv_jaisaa
20,man,sad,2011,kuchh_luv_jaisaa
140,man,angry,2011,kuchh_luv_jaisaa
140,woman,sad,2011,kuchh_luv_jaisaa
36,woman,happy,2011,kuchh_luv_jaisaa
104,woman,sad,2011,kuchh_luv_jaisaa
106,man,neutral,2011,kuchh_luv_jaisaa
90,man,sad,2011,kuchh_luv_jaisaa
138,man,angry,2011,kuchh_luv_jaisaa
89,man,neutral,2011,kuchh_luv_jaisaa
33,woman,happy,2011,kuchh_luv_jaisaa
29,woman,fear,2011,kuchh_luv_jaisaa
141,man,neutral,2011,kuchh_luv_jaisaa
141,woman,sad,2011,kuchh_luv_jaisaa
148,man,angry,2011,kuchh_luv_jaisaa
32,woman,sad,2011,kuchh_luv_jaisaa
139,man,neutral,2011,kuchh_luv_jaisaa
18,woman,surprise,2011,kuchh_luv_jaisaa
