frame_number,man/woman,emotion,year,movie_name
51,man,angry,2011,memories_in_march
111,man,sad,2011,memories_in_march
132,woman,fear,2011,memories_in_march
94,man,sad,2011,memories_in_march
131,woman,sad,2011,memories_in_march
96,man,neutral,2011,memories_in_march
147,woman,sad,2011,memories_in_march
128,woman,sad,2011,memories_in_march
125,man,angry,2011,memories_in_march
76,man,fear,2011,memories_in_march
140,woman,happy,2011,memories_in_march
35,man,sad,2011,memories_in_march
36,man,sad,2011,memories_in_march
158,man,sad,2011,memories_in_march
106,man,sad,2011,memories_in_march
70,man,sad,2011,memories_in_march
38,man,sad,2011,memories_in_march
145,man,happy,2011,memories_in_march
142,man,sad,2011,memories_in_march
142,man,sad,2011,memories_in_march
8,man,sad,2011,memories_in_march
49,man,angry,2011,memories_in_march
69,man,neutral,2011,memories_in_march
138,man,angry,2011,memories_in_march
74,man,fear,2011,memories_in_march
110,man,sad,2011,memories_in_march
129,woman,sad,2011,memories_in_march
66,man,sad,2011,memories_in_march
66,man,sad,2011,memories_in_march
133,woman,fear,2011,memories_in_march
146,man,sad,2011,memories_in_march
141,man,angry,2011,memories_in_march
65,man,sad,2011,memories_in_march
65,man,sad,2011,memories_in_march
134,woman,fear,2011,memories_in_march
113,man,sad,2011,memories_in_march
123,man,sad,2011,memories_in_march
9,man,sad,2011,memories_in_march
148,man,sad,2011,memories_in_march
127,woman,sad,2011,memories_in_march
157,man,happy,2011,memories_in_march
137,man,angry,2011,memories_in_march
137,woman,sad,2011,memories_in_march
48,man,angry,2011,memories_in_march
126,man,sad,2011,memories_in_march
97,man,neutral,2011,memories_in_march
34,man,sad,2011,memories_in_march
73,man,fear,2011,memories_in_march
124,woman,sad,2011,memories_in_march
130,woman,fear,2011,memories_in_march
112,man,sad,2011,memories_in_march
75,man,fear,2011,memories_in_march
