frame_number,man/woman,emotion,year,movie_name
93,man,sad,2011,mere_brother_in_dulhan
28,woman,happy,2011,mere_brother_in_dulhan
51,man,angry,2011,mere_brother_in_dulhan
51,man,fear,2011,mere_brother_in_dulhan
62,man,neutral,2011,mere_brother_in_dulhan
118,woman,sad,2011,mere_brother_in_dulhan
111,man,sad,2011,mere_brother_in_dulhan
132,man,fear,2011,mere_brother_in_dulhan
94,man,neutral,2011,mere_brother_in_dulhan
44,woman,surprise,2011,mere_brother_in_dulhan
173,woman,angry,2011,mere_brother_in_dulhan
131,man,sad,2011,mere_brother_in_dulhan
185,man,neutral,2011,mere_brother_in_dulhan
147,man,sad,2011,mere_brother_in_dulhan
128,man,happy,2011,mere_brother_in_dulhan
128,man,fear,2011,mere_brother_in_dulhan
20,man,neutral,2011,mere_brother_in_dulhan
30,man,happy,2011,mere_brother_in_dulhan
19,man,happy,2011,mere_brother_in_dulhan
76,man,neutral,2011,mere_brother_in_dulhan
140,woman,angry,2011,mere_brother_in_dulhan
45,woman,happy,2011,mere_brother_in_dulhan
45,man,angry,2011,mere_brother_in_dulhan
91,woman,fear,2011,mere_brother_in_dulhan
35,man,neutral,2011,mere_brother_in_dulhan
35,woman,happy,2011,mere_brother_in_dulhan
36,man,neutral,2011,mere_brother_in_dulhan
158,man,sad,2011,mere_brother_in_dulhan
158,woman,angry,2011,mere_brother_in_dulhan
107,man,sad,2011,mere_brother_in_dulhan
107,woman,fear,2011,mere_brother_in_dulhan
186,man,neutral,2011,mere_brother_in_dulhan
70,man,happy,2011,mere_brother_in_dulhan
26,man,happy,2011,mere_brother_in_dulhan
145,man,sad,2011,mere_brother_in_dulhan
142,woman,surprise,2011,mere_brother_in_dulhan
63,man,sad,2011,mere_brother_in_dulhan
49,man,angry,2011,mere_brother_in_dulhan
191,man,happy,2011,mere_brother_in_dulhan
42,man,happy,2011,mere_brother_in_dulhan
138,woman,angry,2011,mere_brother_in_dulhan
138,man,surprise,2011,mere_brother_in_dulhan
116,man,sad,2011,mere_brother_in_dulhan
116,woman,sad,2011,mere_brother_in_dulhan
135,woman,happy,2011,mere_brother_in_dulhan
33,man,happy,2011,mere_brother_in_dulhan
143,man,neutral,2011,mere_brother_in_dulhan
74,woman,neutral,2011,mere_brother_in_dulhan
92,man,sad,2011,mere_brother_in_dulhan
29,woman,happy,2011,mere_brother_in_dulhan
110,man,neutral,2011,mere_brother_in_dulhan
129,man,sad,2011,mere_brother_in_dulhan
37,man,happy,2011,mere_brother_in_dulhan
190,man,happy,2011,mere_brother_in_dulhan
83,man,neutral,2011,mere_brother_in_dulhan
144,man,sad,2011,mere_brother_in_dulhan
77,man,surprise,2011,mere_brother_in_dulhan
27,man,neutral,2011,mere_brother_in_dulhan
146,man,neutral,2011,mere_brother_in_dulhan
141,man,neutral,2011,mere_brother_in_dulhan
24,woman,sad,2011,mere_brother_in_dulhan
46,man,angry,2011,mere_brother_in_dulhan
46,woman,happy,2011,mere_brother_in_dulhan
46,woman,happy,2011,mere_brother_in_dulhan
65,man,sad,2011,mere_brother_in_dulhan
167,man,happy,2011,mere_brother_in_dulhan
41,woman,happy,2011,mere_brother_in_dulhan
50,man,angry,2011,mere_brother_in_dulhan
113,woman,surprise,2011,mere_brother_in_dulhan
39,woman,happy,2011,mere_brother_in_dulhan
115,man,sad,2011,mere_brother_in_dulhan
115,man,neutral,2011,mere_brother_in_dulhan
126,man,angry,2011,mere_brother_in_dulhan
99,woman,sad,2011,mere_brother_in_dulhan
99,man,happy,2011,mere_brother_in_dulhan
78,man,surprise,2011,mere_brother_in_dulhan
187,man,neutral,2011,mere_brother_in_dulhan
34,woman,happy,2011,mere_brother_in_dulhan
34,woman,happy,2011,mere_brother_in_dulhan
43,woman,surprise,2011,mere_brother_in_dulhan
174,man,happy,2011,mere_brother_in_dulhan
189,man,happy,2011,mere_brother_in_dulhan
64,man,neutral,2011,mere_brother_in_dulhan
75,woman,neutral,2011,mere_brother_in_dulhan
25,woman,happy,2011,mere_brother_in_dulhan
31,man,happy,2011,mere_brother_in_dulhan
