frame_number,man/woman,emotion,year,movie_name
93,man,neutral,2011,patiala_house
94,woman,neutral,2011,patiala_house
96,man,neutral,2011,patiala_house
76,woman,happy,2011,patiala_house
120,man,neutral,2011,patiala_house
91,woman,neutral,2011,patiala_house
176,man,happy,2011,patiala_house
176,woman,happy,2011,patiala_house
70,man,neutral,2011,patiala_house
63,man,happy,2011,patiala_house
69,man,neutral,2011,patiala_house
138,woman,angry,2011,patiala_house
89,woman,sad,2011,patiala_house
143,woman,neutral,2011,patiala_house
92,woman,neutral,2011,patiala_house
129,man,sad,2011,patiala_house
151,man,sad,2011,patiala_house
144,man,happy,2011,patiala_house
181,woman,neutral,2011,patiala_house
77,woman,angry,2011,patiala_house
82,woman,surprise,2011,patiala_house
141,woman,angry,2011,patiala_house
141,man,sad,2011,patiala_house
134,man,angry,2011,patiala_house
81,woman,happy,2011,patiala_house
119,woman,sad,2011,patiala_house
137,man,neutral,2011,patiala_house
95,woman,neutral,2011,patiala_house
78,man,neutral,2011,patiala_house
97,man,sad,2011,patiala_house
73,man,neutral,2011,patiala_house
130,man,angry,2011,patiala_house
79,man,neutral,2011,patiala_house
139,man,angry,2011,patiala_house
80,woman,surprise,2011,patiala_house
