frame_number,man/woman,emotion,year,movie_name
30,man,sad,2011,sahi_dhandhe_galat_bande
108,man,surprise,2011,sahi_dhandhe_galat_bande
86,man,sad,2011,sahi_dhandhe_galat_bande
45,man,fear,2011,sahi_dhandhe_galat_bande
36,man,sad,2011,sahi_dhandhe_galat_bande
106,man,angry,2011,sahi_dhandhe_galat_bande
53,man,sad,2011,sahi_dhandhe_galat_bande
63,man,neutral,2011,sahi_dhandhe_galat_bande
63,man,sad,2011,sahi_dhandhe_galat_bande
103,man,angry,2011,sahi_dhandhe_galat_bande
56,man,neutral,2011,sahi_dhandhe_galat_bande
33,man,fear,2011,sahi_dhandhe_galat_bande
109,man,surprise,2011,sahi_dhandhe_galat_bande
29,man,neutral,2011,sahi_dhandhe_galat_bande
110,man,surprise,2011,sahi_dhandhe_galat_bande
37,man,angry,2011,sahi_dhandhe_galat_bande
82,man,sad,2011,sahi_dhandhe_galat_bande
17,man,neutral,2011,sahi_dhandhe_galat_bande
17,man,neutral,2011,sahi_dhandhe_galat_bande
65,man,sad,2011,sahi_dhandhe_galat_bande
81,man,angry,2011,sahi_dhandhe_galat_bande
9,man,sad,2011,sahi_dhandhe_galat_bande
100,man,angry,2011,sahi_dhandhe_galat_bande
100,man,angry,2011,sahi_dhandhe_galat_bande
115,woman,sad,2011,sahi_dhandhe_galat_bande
101,man,sad,2011,sahi_dhandhe_galat_bande
78,man,sad,2011,sahi_dhandhe_galat_bande
34,man,sad,2011,sahi_dhandhe_galat_bande
57,man,angry,2011,sahi_dhandhe_galat_bande
64,man,angry,2011,sahi_dhandhe_galat_bande
112,man,sad,2011,sahi_dhandhe_galat_bande
