frame_number,man/woman,emotion,year,movie_name
85,woman,sad,2011,stanley_ka_dabba
28,man,happy,2011,stanley_ka_dabba
98,man,angry,2011,stanley_ka_dabba
62,woman,happy,2011,stanley_ka_dabba
60,man,neutral,2011,stanley_ka_dabba
118,woman,neutral,2011,stanley_ka_dabba
111,man,sad,2011,stanley_ka_dabba
132,woman,happy,2011,stanley_ka_dabba
61,woman,happy,2011,stanley_ka_dabba
44,man,sad,2011,stanley_ka_dabba
131,man,happy,2011,stanley_ka_dabba
96,man,neutral,2011,stanley_ka_dabba
88,man,angry,2011,stanley_ka_dabba
128,man,happy,2011,stanley_ka_dabba
125,man,happy,2011,stanley_ka_dabba
19,man,happy,2011,stanley_ka_dabba
163,woman,happy,2011,stanley_ka_dabba
55,woman,happy,2011,stanley_ka_dabba
162,woman,neutral,2011,stanley_ka_dabba
70,man,sad,2011,stanley_ka_dabba
26,man,happy,2011,stanley_ka_dabba
145,man,happy,2011,stanley_ka_dabba
12,man,surprise,2011,stanley_ka_dabba
63,woman,happy,2011,stanley_ka_dabba
49,man,disgust,2011,stanley_ka_dabba
67,man,sad,2011,stanley_ka_dabba
56,woman,happy,2011,stanley_ka_dabba
143,man,happy,2011,stanley_ka_dabba
74,woman,neutral,2011,stanley_ka_dabba
102,woman,neutral,2011,stanley_ka_dabba
29,man,angry,2011,stanley_ka_dabba
129,woman,sad,2011,stanley_ka_dabba
161,man,happy,2011,stanley_ka_dabba
144,woman,happy,2011,stanley_ka_dabba
133,woman,happy,2011,stanley_ka_dabba
87,man,angry,2011,stanley_ka_dabba
141,man,happy,2011,stanley_ka_dabba
65,man,sad,2011,stanley_ka_dabba
81,man,neutral,2011,stanley_ka_dabba
119,woman,neutral,2011,stanley_ka_dabba
50,man,happy,2011,stanley_ka_dabba
123,man,happy,2011,stanley_ka_dabba
100,man,angry,2011,stanley_ka_dabba
127,man,happy,2011,stanley_ka_dabba
137,man,sad,2011,stanley_ka_dabba
126,man,happy,2011,stanley_ka_dabba
95,man,sad,2011,stanley_ka_dabba
101,man,neutral,2011,stanley_ka_dabba
99,man,angry,2011,stanley_ka_dabba
117,woman,neutral,2011,stanley_ka_dabba
97,man,sad,2011,stanley_ka_dabba
73,man,sad,2011,stanley_ka_dabba
124,woman,happy,2011,stanley_ka_dabba
130,man,happy,2011,stanley_ka_dabba
72,man,neutral,2011,stanley_ka_dabba
75,woman,sad,2011,stanley_ka_dabba
31,man,surprise,2011,stanley_ka_dabba
