frame_number,man/woman,emotion,year,movie_name
61,woman,happy,2011,turning_30!!
71,woman,happy,2011,turning_30!!
76,woman,surprise,2011,turning_30!!
45,man,sad,2011,turning_30!!
91,woman,happy,2011,turning_30!!
35,woman,sad,2011,turning_30!!
68,woman,sad,2011,turning_30!!
70,woman,surprise,2011,turning_30!!
38,man,sad,2011,turning_30!!
53,woman,neutral,2011,turning_30!!
54,woman,happy,2011,turning_30!!
40,man,sad,2011,turning_30!!
92,woman,happy,2011,turning_30!!
29,woman,sad,2011,turning_30!!
37,man,fear,2011,turning_30!!
27,man,sad,2011,turning_30!!
10,man,happy,2011,turning_30!!
9,woman,happy,2011,turning_30!!
39,woman,sad,2011,turning_30!!
32,man,sad,2011,turning_30!!
