frame_number,man/woman,emotion,year,movie_name
122,man,sad,2011,u_r_my_jaan
85,man,angry,2011,u_r_my_jaan
62,man,sad,2011,u_r_my_jaan
118,woman,sad,2011,u_r_my_jaan
61,man,happy,2011,u_r_my_jaan
44,man,fear,2011,u_r_my_jaan
131,woman,sad,2011,u_r_my_jaan
88,woman,angry,2011,u_r_my_jaan
128,woman,sad,2011,u_r_my_jaan
30,woman,happy,2011,u_r_my_jaan
125,woman,angry,2011,u_r_my_jaan
76,woman,happy,2011,u_r_my_jaan
120,man,fear,2011,u_r_my_jaan
86,man,sad,2011,u_r_my_jaan
45,man,sad,2011,u_r_my_jaan
121,woman,sad,2011,u_r_my_jaan
63,woman,angry,2011,u_r_my_jaan
42,man,neutral,2011,u_r_my_jaan
116,woman,sad,2011,u_r_my_jaan
74,woman,surprise,2011,u_r_my_jaan
29,woman,happy,2011,u_r_my_jaan
129,woman,sad,2011,u_r_my_jaan
84,woman,angry,2011,u_r_my_jaan
77,man,neutral,2011,u_r_my_jaan
87,man,sad,2011,u_r_my_jaan
24,woman,happy,2011,u_r_my_jaan
65,man,sad,2011,u_r_my_jaan
119,man,neutral,2011,u_r_my_jaan
32,man,happy,2011,u_r_my_jaan
127,woman,sad,2011,u_r_my_jaan
117,woman,sad,2011,u_r_my_jaan
43,man,neutral,2011,u_r_my_jaan
124,man,angry,2011,u_r_my_jaan
130,woman,fear,2011,u_r_my_jaan
31,woman,happy,2011,u_r_my_jaan
