frame_number,man/woman,emotion,year,movie_name
14,man,happy,2011,warning
132,man,neutral,2011,warning
131,man,neutral,2011,warning
15,man,neutral,2011,warning
120,woman,fear,2011,warning
91,man,sad,2011,warning
121,woman,fear,2011,warning
70,man,fear,2011,warning
90,man,angry,2011,warning
103,man,sad,2011,warning
116,man,angry,2011,warning
102,man,happy,2011,warning
129,woman,fear,2011,warning
83,man,neutral,2011,warning
84,man,sad,2011,warning
16,man,surprise,2011,warning
17,man,fear,2011,warning
113,man,sad,2011,warning
137,man,neutral,2011,warning
126,man,neutral,2011,warning
117,man,angry,2011,warning
97,man,angry,2011,warning
130,man,fear,2011,warning
18,man,angry,2011,warning
