frame_number,man/woman,emotion,year,movie_name
14,woman,happy,2011,zokkomon
51,man,sad,2011,zokkomon
98,man,neutral,2011,zokkomon
118,woman,happy,2011,zokkomon
30,man,neutral,2011,zokkomon
140,man,angry,2011,zokkomon
55,man,angry,2011,zokkomon
59,man,happy,2011,zokkomon
121,man,neutral,2011,zokkomon
38,man,neutral,2011,zokkomon
142,man,angry,2011,zokkomon
49,man,happy,2011,zokkomon
42,man,happy,2011,zokkomon
103,woman,sad,2011,zokkomon
103,man,happy,2011,zokkomon
40,man,neutral,2011,zokkomon
143,man,angry,2011,zokkomon
37,man,neutral,2011,zokkomon
141,man,angry,2011,zokkomon
41,man,neutral,2011,zokkomon
50,man,happy,2011,zokkomon
39,man,happy,2011,zokkomon
32,woman,sad,2011,zokkomon
48,man,angry,2011,zokkomon
117,man,surprise,2011,zokkomon
34,man,sad,2011,zokkomon
34,woman,sad,2011,zokkomon
43,man,happy,2011,zokkomon
57,man,angry,2011,zokkomon
31,woman,sad,2011,zokkomon
